name,S,E,I,R
Adat__Thrissur,31973,0,0,0
Adichanalloor__Kollam,33638,0,0,0
Adimali__Idukki,40484,0,0,0
Adoor(M)__Pathanamthitta,29171,0,0,0
Agali__Palakkad,34941,0,0,0
Aiykkaranadu__Ernakulam,21107,0,0,0
Ajanur__Kasaragod,49153,0,0,0
Akalakunnam__Kottayam,19718,0,0,0
Akathethara__Palakkad,28592,0,0,0
Ala__Alappuzha,13395,0,0,0
Alagappa Nagar__Thrissur,29341,0,0,0
Alakode__Idukki,9768,0,0,0
Alakode__Kannur,34878,0,0,0
Alamkod__Malappuram,7050,0,0,0
Alanalloor__Palakkad,52554,0,0,0
Alangad__Ernakulam,41251,0,0,0
Alappad__Kollam,21655,0,0,0
Alappuzha(M)__Alappuzha,174176,0,0,0
Alathur__Palakkad,26720,0,0,0
Alayamon__Kollam,20108,0,0,0
Aliparambu__Malappuram,7947,0,0,0
Aloor__Thrissur,43488,0,0,0
Aluva(M)__Ernakulam,22428,0,0,0
Amarambalam__Malappuram,7841,0,0,0
Ambalappara__Palakkad,38276,0,0,0
Ambalappuzha North__Alappuzha,30492,0,0,0
Ambalappuzha South__Alappuzha,23205,0,0,0
Ambalavayal__Wayanad,8568,0,0,0
Amballur__Ernakulam,25628,0,0,0
Amboori__Thiruvananthapuram,15920,0,0,0
Anad__Thiruvananthapuram,31687,0,0,0
Anakkara__Palakkad,24699,0,0,0
Anakkayam__Malappuram,9825,0,0,0
Ananganadi__Palakkad,24445,0,0,0
Anchal__Kollam,33088,0,0,0
Anchuthengu__Thiruvananthapuram,17396,0,0,0
Andoorkonam__Thiruvananthapuram,30781,0,0,0
Angadippuram__Malappuram,11712,0,0,0
Angamali(M)__Ernakulam,33465,0,0,0
Anikkad__Pathanamthitta,14585,0,0,0
Anjarakandi__Kannur,23030,0,0,0
Annamanada__Thrissur,30289,0,0,0
Anthikkad__Thrissur,21449,0,0,0
Anthoor(M)__Kannur,33991,0,0,0
Arakkulam__Idukki,18481,0,0,0
Arakkuzha__Ernakulam,15404,0,0,0
Aralam__Kannur,29328,0,0,0
Aranmula__Pathanamthitta,28695,0,0,0
Arattupuzha__Alappuzha,29264,0,0,0
Areekkod__Malappuram,6037,0,0,0
Arikkulam__Kozhikode,18378,0,0,0
Arimpoor__Thrissur,32292,0,0,0
ARNagar__Malappuram,7338,0,0,0
Aroor__Alappuzha,41146,0,0,0
Arpookkara__Kottayam,23809,0,0,0
Arukutty__Alappuzha,19411,0,0,0
Aruvappulam__Pathanamthitta,19536,0,0,0
Aruvikkara__Thiruvananthapuram,33396,0,0,0
Aryad__Alappuzha,32265,0,0,0
Aryanad__Thiruvananthapuram,26361,0,0,0
Aryancodu__Thiruvananthapuram,24328,0,0,0
Aryankavu__Kollam,11133,0,0,0
Asamannur__Ernakulam,19311,0,0,0
Athavanad__Malappuram,7573,0,0,0
Athirampuzha__Kottayam,40196,0,0,0
Athirappilli__Thrissur,9153,0,0,0
Athiyannoor__Thiruvananthapuram,26973,0,0,0
Atholi__Kozhikode,28213,0,0,0
Attingal(M)__Thiruvananthapuram,37436,0,0,0
Avanoor__Thrissur,22482,0,0,0
Avinisseri__Thrissur,21707,0,0,0
Avoly__Ernakulam,19797,0,0,0
Ayancheri__Kozhikode,26293,0,0,0
Ayarkunnam__Kottayam,34555,0,0,0
Ayavana__Ernakulam,20539,0,0,0
Ayiloor__Palakkad,28419,0,0,0
Ayiroor__Pathanamthitta,21797,0,0,0
Aymanam__Kottayam,34906,0,0,0
Ayyampuzha__Ernakulam,14211,0,0,0
Ayyankunnu__Kannur,22436,0,0,0
Ayyappankovil__Idukki,15611,0,0,0
Azheeikkode__Kannur,47323,0,0,0
Azhiyur__Kozhikode,30023,0,0,0
Azhoor__Thiruvananthapuram,27390,0,0,0
Badiyaduka__Kasaragod,34207,0,0,0
Balal__Kasaragod,23670,0,0,0
Balaramapuram__Thiruvananthapuram,36134,0,0,0
Balusseri__Kozhikode,27363,0,0,0
Bedadka__Kasaragod,27868,0,0,0
Beloor__Kasaragod,10241,0,0,0
Bharananganam__Kottayam,15848,0,0,0
Bharanikavu__Alappuzha,35426,0,0,0
Budhannur__Alappuzha,18444,0,0,0
Bysonvalley__Idukki,13941,0,0,0
Chadayamangalam__Kollam,22473,0,0,0
Chakkittapara__Kozhikode,21086,0,0,0
Chakkupallam__Idukki,21936,0,0,0
Chalakkudi(M)__Thrissur,49525,0,0,0
Chalavara__Palakkad,23466,0,0,0
Chalissery__Palakkad,24238,0,0,0
Chaliyar__Malappuram,4614,0,0,0
Champakkulam__Alappuzha,15848,0,0,0
Changanassery(M)__Kottayam,47685,0,0,0
Changaroth__Kozhikode,32107,0,0,0
Chapparapadavu__Kannur,31622,0,0,0
Chathamangalam__Kozhikode,46688,0,0,0
Chathanoor__Kollam,28585,0,0,0
Chavakkad(M)__Thrissur,39098,0,0,0
Chavara__Kollam,42655,0,0,0
Chazhoor__Thrissur,29141,0,0,0
Cheekkod__Malappuram,6297,0,0,0
Chekkyad__Kozhikode,24246,0,0,0
Chelakkara__Thrissur,40450,0,0,0
Chelambra__Malappuram,7078,0,0,0
Chelannur__Kozhikode,40697,0,0,0
Chellanam__Ernakulam,37399,0,0,0
Chemancherry__Kozhikode,34819,0,0,0
Chembilod__Kannur,34319,0,0,0
Chemmanad__Kasaragod,54747,0,0,0
Chemmaruthi__Thiruvananthapuram,32444,0,0,0
Chempu__Kottayam,21049,0,0,0
Chendamangalam__Ernakulam,29326,0,0,0
Chengala__Kasaragod,56781,0,0,0
Chengalayi__Kannur,30559,0,0,0
Chengamanadu__Ernakulam,27978,0,0,0
Chengannur(M)__Alappuzha,23466,0,0,0
Chengottukavu__Kozhikode,26791,0,0,0
Chenkal__Thiruvananthapuram,36544,0,0,0
Chennam Pallipuram__Alappuzha,28276,0,0,0
Chenneerkara__Pathanamthitta,19124,0,0,0
ChennithalaThriperunthura__Alappuzha,27586,0,0,0
Cheppad__Alappuzha,20052,0,0,0
Cheranallur__Ernakulam,30594,0,0,0
Cheriyamundam__Malappuram,5613,0,0,0
Cheriyanad__Alappuzha,22018,0,0,0
Cherode__Kozhikode,38245,0,0,0
Cherppu__Thrissur,37099,0,0,0
Cherppulassery (M)__Palakkad,34899,0,0,0
Cherthala (M)__Alappuzha,45827,0,0,0
Cherthala South__Alappuzha,40102,0,0,0
Cherukavu__Malappuram,7478,0,0,0
Cherukol__Pathanamthitta,12169,0,0,0
Cherukunnu__Kannur,16111,0,0,0
Cherunniyoor__Thiruvananthapuram,18114,0,0,0
Cherupuzha__Kannur,30733,0,0,0
Cheruthana__Alappuzha,12854,0,0,0
Cheruthazham__Kannur,29348,0,0,0
Cheruvannur__Kozhikode,23388,0,0,0
Cheruvathur__Kasaragod,27435,0,0,0
Chettikulangara__Alappuzha,37495,0,0,0
Chingoli__Alappuzha,14981,0,0,0
Chinnakkanal__Idukki,11553,0,0,0
Chirakadav__Kottayam,36164,0,0,0
Chirakkal__Kannur,45601,0,0,0
Chirakkara__Kollam,22669,0,0,0
Chirayinkeezhu__Thiruvananthapuram,29907,0,0,0
Chithara__Kollam,45383,0,0,0
Chittar__Pathanamthitta,16525,0,0,0
Chittariparambu__Kannur,23878,0,0,0
Chittattukara__Ernakulam,31303,0,0,0
Chittoor-Thathamangalam(M)__Palakkad,32298,0,0,0
Chokkadu__Malappuram,6340,0,0,0
Chokli__Kannur,28415,0,0,0
Choondal__Thrissur,32436,0,0,0
Choornikkara__Ernakulam,32746,0,0,0
Chottanikara__Ernakulam,22656,0,0,0
Chowannoor__Thrissur,16690,0,0,0
Chunakkara__Alappuzha,22730,0,0,0
Chungathara__Malappuram,8054,0,0,0
Clappana__Kollam,22250,0,0,0
Delampadi__Kasaragod,22773,0,0,0
Desamangalam__Thrissur,21883,0,0,0
Devikulam__Idukki,23709,0,0,0
Devikulangara__Alappuzha,20390,0,0,0
Dharmadom__Kannur,30804,0,0,0
East Eleri__Kasaragod,25075,0,0,0
East Kallada__Kollam,22046,0,0,0
Edacheri__Kozhikode,26819,0,0,0
Edakkara__Malappuram,6198,0,0,0
Edakkattuvayal__Ernakulam,18158,0,0,0
Edamalakkudi__Idukki,2236,0,0,0
Edamulakkal__Kollam,39244,0,0,0
Edappal__Malappuram,6684,0,0,0
Edappatta__Malappuram,4532,0,0,0
Edarikkod__Malappuram,5223,0,0,0
Edathala__Ernakulam,44204,0,0,0
Edathiruthy__Thrissur,29325,0,0,0
Edathwa__Alappuzha,19094,0,0,0
Edava__Thiruvananthapuram,25994,0,0,0
Edavaka__Wayanad,7539,0,0,0
Edavanna__Malappuram,9048,0,0,0
Edavavanakad__Ernakulam,21787,0,0,0
Edavetti__Idukki,14260,0,0,0
Edavilangadu__Thrissur,20363,0,0,0
Edayoor__Malappuram,6811,0,0,0
Elakamon__Thiruvananthapuram,25307,0,0,0
Elamadu__Kollam,27248,0,0,0
Elamkulam__Malappuram,5330,0,0,0
Elampalloor__Kollam,38536,0,0,0
Elanji__Ernakulam,16495,0,0,0
Elankunnapuzha__Ernakulam,50714,0,0,0
