name,type,N
Adat__Thrissur,P,31973
Adichanalloor__Kollam,P,33638
Adimali__Idukki,P,40484
Adoor(M)__Pathanamthitta,M,29171
Agali__Palakkad,P,34941
Aiykkaranadu__Ernakulam,P,21107
Ajanur__Kasaragod,P,49153
Akalakunnam__Kottayam,P,19718
Akathethara__Palakkad,P,28592
Ala__Alappuzha,P,13395
Alagappa Nagar__Thrissur,P,29341
Alakode__Idukki,P,9768
Alakode__Kannur,P,34878
Alamkod__Malappuram,P,7050
Alanalloor__Palakkad,P,52554
Alangad__Ernakulam,P,41251
Alappad__Kollam,P,21655
Alappuzha(M)__Alappuzha,M,174176
Alathur__Palakkad,P,26720
Alayamon__Kollam,P,20108
Aliparambu__Malappuram,P,7947
Aloor__Thrissur,P,43488
Aluva(M)__Ernakulam,M,22428
Amarambalam__Malappuram,P,7841
Ambalappara__Palakkad,P,38276
Ambalappuzha North__Alappuzha,P,30492
Ambalappuzha South__Alappuzha,P,23205
Ambalavayal__Wayanad,P,8568
Amballur__Ernakulam,P,25628
Amboori__Thiruvananthapuram,P,15920
Anad__Thiruvananthapuram,P,31687
Anakkara__Palakkad,P,24699
Anakkayam__Malappuram,P,9825
Ananganadi__Palakkad,P,24445
Anchal__Kollam,P,33088
Anchuthengu__Thiruvananthapuram,P,17396
Andoorkonam__Thiruvananthapuram,P,30781
Angadippuram__Malappuram,P,11712
Angamali(M)__Ernakulam,M,33465
Anikkad__Pathanamthitta,P,14585
Anjarakandi__Kannur,P,23030
Annamanada__Thrissur,P,30289
Anthikkad__Thrissur,P,21449
Anthoor(M)__Kannur,M,33991
Arakkulam__Idukki,P,18481
Arakkuzha__Ernakulam,P,15404
Aralam__Kannur,P,29328
Aranmula__Pathanamthitta,P,28695
Arattupuzha__Alappuzha,P,29264
Areekkod__Malappuram,P,6037
Arikkulam__Kozhikode,P,18378
Arimpoor__Thrissur,P,32292
ARNagar__Malappuram,P,7338
Aroor__Alappuzha,P,41146
Arpookkara__Kottayam,P,23809
Arukutty__Alappuzha,P,19411
Aruvappulam__Pathanamthitta,P,19536
Aruvikkara__Thiruvananthapuram,P,33396
Aryad__Alappuzha,P,32265
Aryanad__Thiruvananthapuram,P,26361
Aryancodu__Thiruvananthapuram,P,24328
Aryankavu__Kollam,P,11133
Asamannur__Ernakulam,P,19311
Athavanad__Malappuram,P,7573
Athirampuzha__Kottayam,P,40196
Athirappilli__Thrissur,P,9153
Athiyannoor__Thiruvananthapuram,P,26973
Atholi__Kozhikode,P,28213
Attingal(M)__Thiruvananthapuram,M,37436
Avanoor__Thrissur,P,22482
Avinisseri__Thrissur,P,21707
Avoly__Ernakulam,P,19797
Ayancheri__Kozhikode,P,26293
Ayarkunnam__Kottayam,P,34555
Ayavana__Ernakulam,P,20539
Ayiloor__Palakkad,P,28419
Ayiroor__Pathanamthitta,P,21797
Aymanam__Kottayam,P,34906
Ayyampuzha__Ernakulam,P,14211
Ayyankunnu__Kannur,P,22436
Ayyappankovil__Idukki,P,15611
Azheeikkode__Kannur,P,47323
Azhiyur__Kozhikode,P,30023
Azhoor__Thiruvananthapuram,P,27390
Badiyaduka__Kasaragod,P,34207
Balal__Kasaragod,P,23670
Balaramapuram__Thiruvananthapuram,P,36134
Balusseri__Kozhikode,P,27363
Bedadka__Kasaragod,P,27868
Beloor__Kasaragod,P,10241
Bharananganam__Kottayam,P,15848
Bharanikavu__Alappuzha,P,35426
Budhannur__Alappuzha,P,18444
Bysonvalley__Idukki,P,13941
Chadayamangalam__Kollam,P,22473
Chakkittapara__Kozhikode,P,21086
Chakkupallam__Idukki,P,21936
Chalakkudi(M)__Thrissur,M,49525
Chalavara__Palakkad,P,23466
Chalissery__Palakkad,P,24238
Chaliyar__Malappuram,P,4614
Champakkulam__Alappuzha,P,15848
Changanassery(M)__Kottayam,M,47685
Changaroth__Kozhikode,P,32107
Chapparapadavu__Kannur,P,31622
Chathamangalam__Kozhikode,P,46688
Chathanoor__Kollam,P,28585
Chavakkad(M)__Thrissur,M,3998
Chavara__Kollam,P,42655
Chazhoor__Thrissur,P,29141
Cheekkod__Malappuram,P,6297
Chekkyad__Kozhikode,P,24246
Chelakkara__Thrissur,P,40450
Chelambra__Malappuram,P,7078
Chelannur__Kozhikode,P,40697
Chellanam__Ernakulam,P,37399
Chemancherry__Kozhikode,P,34819
Chembilod__Kannur,P,34319
Chemmanad__Kasaragod,P,54747
Chemmaruthi__Thiruvananthapuram,P,32444
Chempu__Kottayam,P,21049
Chendamangalam__Ernakulam,P,29326
Chengala__Kasaragod,P,56781
Chengalayi__Kannur,P,30559
Chengamanadu__Ernakulam,P,27978
Chengannur(M)__Alappuzha,M,23466
Chengottukavu__Kozhikode,P,26791
Chenkal__Thiruvananthapuram,P,36544
Chennam Pallipuram__Alappuzha,P,28276
Chenneerkara__Pathanamthitta,P,19124
ChennithalaThriperunthura__Alappuzha,P,27586
Cheppad__Alappuzha,P,20052
Cheranallur__Ernakulam,P,30594
Cheriyamundam__Malappuram,P,5613
Cheriyanad__Alappuzha,P,22018
Cherode__Kozhikode,P,38245
Cherppu__Thrissur,P,37099
Cherppulassery (M)__Palakkad,M,34899
Cherthala (M)__Alappuzha,M,45827
Cherthala South__Alappuzha,P,40102
Cherukavu__Malappuram,P,7478
Cherukol__Pathanamthitta,P,12169
Cherukunnu__Kannur,P,16111
Cherunniyoor__Thiruvananthapuram,P,18114
Cherupuzha__Kannur,P,30733
Cheruthana__Alappuzha,P,12854
Cheruthazham__Kannur,P,29348
Cheruvannur__Kozhikode,P,23388
Cheruvathur__Kasaragod,P,27435
Chettikulangara__Alappuzha,P,37495
Chingoli__Alappuzha,P,14981
Chinnakkanal__Idukki,P,11553
Chirakadav__Kottayam,P,36164
Chirakkal__Kannur,P,45601
Chirakkara__Kollam,P,22669
Chirayinkeezhu__Thiruvananthapuram,P,29907
Chithara__Kollam,P,45383
Chittar__Pathanamthitta,P,16525
Chittariparambu__Kannur,P,23878
Chittattukara__Ernakulam,P,31303
Chittoor-Thathamangalam(M)__Palakkad,M,32298
Chokkadu__Malappuram,P,6340
Chokli__Kannur,P,28415
Choondal__Thrissur,P,32436
Choornikkara__Ernakulam,P,32746
Chottanikara__Ernakulam,P,22656
Chowannoor__Thrissur,P,16690
Chunakkara__Alappuzha,P,22730
Chungathara__Malappuram,P,8054
