fromName,toName,value
Ajanur__Kasaragod,Ajanur__Kasaragod,0
Ajanur__Kasaragod,Badiyaduka__Kasaragod,26188
Ajanur__Kasaragod,Balal__Kasaragod,27086
Ajanur__Kasaragod,Bedadka__Kasaragod,13788
Ajanur__Kasaragod,Beloor__Kasaragod,29371
Ajanur__Kasaragod,Chemmanad__Kasaragod,14340
Ajanur__Kasaragod,Chengala__Kasaragod,19758
Ajanur__Kasaragod,Cheruvathur__Kasaragod,16438
Ajanur__Kasaragod,Delampadi__Kasaragod,27922
Ajanur__Kasaragod,East Eleri__Kasaragod,32003
Ajanur__Kasaragod,Enmakaje__Kasaragod,32678
Ajanur__Kasaragod,Kallar__Kasaragod,20802
Ajanur__Kasaragod,Kanjangad(M)__Kasaragod,7241
Ajanur__Kasaragod,Karaduka__Kasaragod,24243
Ajanur__Kasaragod,Kasaragod(M)__Kasaragod,18706
Ajanur__Kasaragod,Kayyur-Chimeni__Kasaragod,19558
Ajanur__Kasaragod,Kinanur-Karindalam__Kasaragod,17765
Ajanur__Kasaragod,Kodom-Belur__Kasaragod,12278
Ajanur__Kasaragod,Kumbadaje__Kasaragod,25602
Ajanur__Kasaragod,Kumbala__Kasaragod,30673
Ajanur__Kasaragod,Kuttikol__Kasaragod,23482
Ajanur__Kasaragod,Madhur__Kasaragod,22807
Ajanur__Kasaragod,Madikai__Kasaragod,8861
Ajanur__Kasaragod,Mangalpady__Kasaragod,36984
Ajanur__Kasaragod,Manjeswaram__Kasaragod,46345
Ajanur__Kasaragod,Meencha__Kasaragod,42096
Ajanur__Kasaragod,Mogral-Puthur__Kasaragod,24188
Ajanur__Kasaragod,Muliyar__Kasaragod,17388
Ajanur__Kasaragod,Nileswaram(M)__Kasaragod,12976
Ajanur__Kasaragod,Padanna__Kasaragod,21656
Ajanur__Kasaragod,Paivalike__Kasaragod,37801
Ajanur__Kasaragod,Pallikkara__Kasaragod,6924
Ajanur__Kasaragod,Pananthadi__Kasaragod,30818
Ajanur__Kasaragod,Pilicode__Kasaragod,20195
Ajanur__Kasaragod,Pullur-Periya__Kasaragod,6194
Ajanur__Kasaragod,Puthige__Kasaragod,30340
Ajanur__Kasaragod,Thrikkarippur__Kasaragod,26724
Ajanur__Kasaragod,Uduma__Kasaragod,10670
Ajanur__Kasaragod,Valiyaparampa__Kasaragod,24856
Ajanur__Kasaragod,Vorkady__Kasaragod,46938
Ajanur__Kasaragod,West Eleri__Kasaragod,25801
Badiyaduka__Kasaragod,Ajanur__Kasaragod,26188
Badiyaduka__Kasaragod,Badiyaduka__Kasaragod,0
Badiyaduka__Kasaragod,Balal__Kasaragod,37415
Badiyaduka__Kasaragod,Bedadka__Kasaragod,17917
Badiyaduka__Kasaragod,Beloor__Kasaragod,12990
Badiyaduka__Kasaragod,Chemmanad__Kasaragod,12965
Badiyaduka__Kasaragod,Chengala__Kasaragod,6441
Badiyaduka__Kasaragod,Cheruvathur__Kasaragod,42069
Badiyaduka__Kasaragod,Delampadi__Kasaragod,20669
Badiyaduka__Kasaragod,East Eleri__Kasaragod,46348
Badiyaduka__Kasaragod,Enmakaje__Kasaragod,8203
Badiyaduka__Kasaragod,Kallar__Kasaragod,28111
Badiyaduka__Kasaragod,Kanjangad(M)__Kasaragod,33228
Badiyaduka__Kasaragod,Karaduka__Kasaragod,12741
Badiyaduka__Kasaragod,Kasaragod(M)__Kasaragod,12114
Badiyaduka__Kasaragod,Kayyur-Chimeni__Kasaragod,41998
Badiyaduka__Kasaragod,Kinanur-Karindalam__Kasaragod,36340
Badiyaduka__Kasaragod,Kodom-Belur__Kasaragod,28142
Badiyaduka__Kasaragod,Kumbadaje__Kasaragod,7453
Badiyaduka__Kasaragod,Kumbala__Kasaragod,10493
Badiyaduka__Kasaragod,Kuttikol__Kasaragod,23525
Badiyaduka__Kasaragod,Madhur__Kasaragod,7569
Badiyaduka__Kasaragod,Madikai__Kasaragod,32061
Badiyaduka__Kasaragod,Mangalpady__Kasaragod,15200
Badiyaduka__Kasaragod,Manjeswaram__Kasaragod,23583
Badiyaduka__Kasaragod,Meencha__Kasaragod,18116
Badiyaduka__Kasaragod,Mogral-Puthur__Kasaragod,10809
Badiyaduka__Kasaragod,Muliyar__Kasaragod,11517
Badiyaduka__Kasaragod,Nileswaram(M)__Kasaragod,38468
Badiyaduka__Kasaragod,Padanna__Kasaragod,47383
Badiyaduka__Kasaragod,Paivalike__Kasaragod,12276
Badiyaduka__Kasaragod,Pallikkara__Kasaragod,19467
Badiyaduka__Kasaragod,Pananthadi__Kasaragod,34413
Badiyaduka__Kasaragod,Pilicode__Kasaragod,45049
Badiyaduka__Kasaragod,Pullur-Periya__Kasaragod,22337
Badiyaduka__Kasaragod,Puthige__Kasaragod,5801
