iName,jName,value
Ajanoor,Pallikkara,0.01
Ajanoor,Pullurperiya,0.01
Ajanoor,Madikkai,0.01
Ajanoor,Kanhangadu,0.01
Badiyadka,Enmakaje,0.01
Badiyadka,Puthige,0.01
Badiyadka,Madhur,0.01
Badiyadka,Chengala,0.01
Badiyadka,Kumbadaje,0.01
Balal,Kallar,0.01
Balal,Panathady,0.01
Balal,East Eleri,0.01
Balal,West Eleri,0.01
Balal,Kinanoor Karinthalam,0.01
Balal,Kodombellur,0.01
Bedaduka,Muliyar,0.01
Bedaduka,Delampady,0.01
Bedaduka,Kuttikol,0.01
Bedaduka,Kallar,0.01
Bedaduka,Kodombellur,0.01
Bedaduka,Pullurperiya,0.01
Bedaduka,Pallikkara,0.01
Bedaduka,Chemnad,0.01
Belloor,Enmakaje,0.01
Belloor,Kumbadaje,0.01
Belloor,Karadka,0.01
Chemnad,Kasargodu,0.01
Chemnad,Chengala,0.01
Chemnad,Muliyar,0.01
Chemnad,Bedaduka,0.01
Chemnad,Pallikkara,0.01
Chemnad,Udma,0.01
Chengala,Kasargodu,0.01
Chengala,Madhur,0.01
Chengala,Badiyadka,0.01
Chengala,Kumbadaje,0.01
Chengala,Karadka,0.01
Chengala,Muliyar,0.01
Cheruvathur,Nileshwaram,0.01
Cheruvathur,Kayyur Cheemeni,0.01
Cheruvathur,Pilicode,0.01
Cheruvathur,Padne,0.01
Cheruvathur,Valiyaparamba,0.01
Delampady,Karadka,0.01
Delampady,Kuttikol,0.01
Delampady,Bedaduka,0.01
Delampady,Muliyar,0.01
East Eleri,West Eleri,0.01
East Eleri,Balal,0.01
Enmakaje,Belloor,0.01
Enmakaje,Kumbadaje,0.01
Enmakaje,Badiyadka,0.01
Enmakaje,Puthige,0.01
Kallar,Panathady,0.01
Kallar,Balal,0.01
Kallar,Kodombellur,0.01
Kallar,Bedaduka,0.01
Kallar,Kuttikol,0.01
Kanhangadu,Madikkai,0.01
Kanhangadu,Nileshwaram,0.01
Kanhangadu,Ajanoor,0.01
Karadka,Delampady,0.01
Karadka,Muliyar,0.01
Karadka,Chengala,0.01
Karadka,Kumbadaje,0.01
Karadka,Belloor,0.01
Kasargodu,Chemnad,0.01
Kasargodu,Chengala,0.01
Kasargodu,Madhur,0.01
Kasargodu,Mogral Puthur,0.01
Kayyur Cheemeni,Kinanoor Karinthalam,0.01
Kayyur Cheemeni,West Eleri,0.01
Kayyur Cheemeni,Pilicode,0.01
Kayyur Cheemeni,Cheruvathur,0.01
Kayyur Cheemeni,Nileshwaram,0.01
Kinanoor Karinthalam,Kayyur Cheemeni,0.01
Kinanoor Karinthalam,Nileshwaram,0.01
Kinanoor Karinthalam,Madikkai,0.01
Kinanoor Karinthalam,Kodombellur,0.01
Kinanoor Karinthalam,Balal,0.01
Kinanoor Karinthalam,West Eleri,0.01
Kodombellur,Bedaduka,0.01
Kodombellur,Kallar,0.01
Kodombellur,Balal,0.01
Kodombellur,Kinanoor Karinthalam,0.01
Kodombellur,Madikkai,0.01
Kodombellur,Pullurperiya,0.01
Kumbadaje,Belloor,0.01
Kumbadaje,Karadka,0.01
Kumbadaje,Chengala,0.01
Kumbadaje,Badiyadka,0.01
Kumbadaje,Enmakaje,0.01
Kuttikol,Delampady,0.01
Kuttikol,Panathady,0.01
Kuttikol,Kallar,0.01
Kuttikol,Bedaduka,0.01
Kuttikol,Muliyar,0.01
Madhur,Mogral Puthur,0.01
Madhur,Puthige,0.01
Madhur,Badiyadka,0.01
Madhur,Chengala,0.01
Madhur,Kasargodu,0.01
Madikkai,Kanhangadu,0.01
Madikkai,Ajanoor,0.01
Madikkai,Pullurperiya,0.01
Madikkai,Kodombellur,0.01
Madikkai,Kinanoor Karinthalam,0.01
Madikkai,Nileshwaram,0.01
Mangalpady,Meenja,0.01
Mangalpady,Manjewswaram,0.01
Mangalpady,Paivalike,0.01
Mangalpady,Kumbala,0.01
Manjewswaram,Vorkady,0.01
Manjewswaram,Meenja,0.01
Manjewswaram,Mangalpady,0.01
Meenja,Manjewswaram,0.01
Meenja,Vorkady,0.01
Meenja,Paivalike,0.01
Meenja,Mangalpady,0.01
Mogral Puthur,Madhur,0.01
Mogral Puthur,Kasargodu,0.01
Mogral Puthur,Kumbala,0.01
Mogral Puthur,Puthige,0.01
Muliyar,Chengala,0.01
Muliyar,Karadka,0.01
Muliyar,Delampady,0.01
Muliyar,Bedaduka,0.01
Muliyar,Chemnad,0.01
Nileshwaram,Kanhangadu,0.01
Nileshwaram,Madikkai,0.01
Nileshwaram,Kinanoor Karinthalam,0.01
Nileshwaram,Kayyur Cheemeni,0.01
Nileshwaram,Cheruvathur,0.01
Nileshwaram,Valiyaparamba,0.01
Padne,Cheruvathur,0.01
Padne,Pilicode,0.01
Padne,Thrikkaripur,0.01
Padne,Valiyaparamba,0.01
Paivalike,Meenja,0.01
Paivalike,Vorkady,0.01
Paivalike,Puthige,0.01
Paivalike,Kumbala,0.01
Paivalike,Mangalpady,0.01
Pallikkara,Udma,0.01
Pallikkara,Chemnad,0.01
Pallikkara,Bedaduka,0.01
Pallikkara,Pullurperiya,0.01
Pallikkara,Ajanoor,0.01
Panathady,Kuttikol,0.01
Panathady,Kallar,0.01
Panathady,Balal,0.01
Pilicode,Kayyur Cheemeni,0.01
Pilicode,Cheruvathur,0.01
Pilicode,Padne,0.01
Pilicode,Thrikkaripur,0.01
Pullurperiya,Pallikkara,0.01
Pullurperiya,Bedaduka,0.01
Pullurperiya,Kodombellur,0.01
Pullurperiya,Madikkai,0.01
Pullurperiya,Ajanoor,0.01
Puthige,Kumbala,0.01
Puthige,Paivalike,0.01
Puthige,Enmakaje,0.01
Puthige,Badiyadka,0.01
Puthige,Madhur,0.01
Puthige,Mogral Puthur,0.01
Thrikkaripur,Padne,0.01
Thrikkaripur,Pilicode,0.01
Thrikkaripur,Valiyaparamba,0.01
Udma,Chemnad,0.01
Udma,Pallikkara,0.01
Valiyaparamba,Nileshwaram,0.01
Valiyaparamba,Cheruvathur,0.01
Valiyaparamba,Padne,0.01
Valiyaparamba,Thrikkaripur,0.01
Vorkady,Manjewswaram,0.01
Vorkady,Meenja,0.01
Vorkady,Paivalike,0.01
West Eleri,Kinanoor Karinthalam,0.01
West Eleri,Balal,0.01
West Eleri,East Eleri,0.01
West Eleri,Kayyur Cheemeni,0.01
