iName,jName,value
P1,P1,1
P1,P1.1,0.01
P1,P1.2,0.01
P1,P1.1.1,0.001
P1,P1.1.2,0.001
P1,P1.2.1,0.001
P1,P1.2.2,0.001
P1.1,P1,0.01
P1.1,P1.1,1
P1.1,P1.2,0.01
P1.1,P1.1.1,0.01
P1.1,P1.1.2,0.01
P1.1,P1.2.1,0
P1.1,P1.2.2,0
P1.2,P1,0.01
P1.2,P1.1,0.01
P1.2,P1.2,1
P1.2,P1.1.1,0
P1.2,P1.1.2,0
P1.2,P1.2.1,0.01
P1.2,P1.2.2,0.01
P1.1.1,P1,0.001
P1.1.1,P1.1,0.01
P1.1.1,P1.2,0
P1.1.1,P1.1.1,1
P1.1.1,P1.1.2,0.01
P1.1.1,P1.2.1,0
P1.1.1,P1.2.2,0
P1.1.2,P1,0.001
P1.1.2,P1.1,0.01
P1.1.2,P1.2,0
P1.1.2,P1.1.1,0.01
P1.1.2,P1.1.2,1
P1.1.2,P1.2.1,0
P1.1.2,P1.2.2,0
P1.2.1,P1,0.001
P1.2.1,P1.1,0
P1.2.1,P1.2,0.01
P1.2.1,P1.1.1,0
P1.2.1,P1.1.2,0
P1.2.1,P1.2.1,1
P1.2.1,P1.2.2,0.01
P1.2.2,P1,0.001
P1.2.2,P1.1,0
P1.2.2,P1.2,0.01
P1.2.2,P1.1.1,0
P1.2.2,P1.1.2,0
P1.2.2,P1.2.1,0.01
P1.2.2,P1.2.2,1
