name,area
Amboori__Thiruvananthapuram,29207705.04
Anad__Thiruvananthapuram,23870759.46
Anchuthengu__Thiruvananthapuram,4131620.329
Andoorkonam__Thiruvananthapuram,14115811.94
Aruvikkara__Thiruvananthapuram,21263205.99
Aryanad__Thiruvananthapuram,39246581.36
Aryancodu__Thiruvananthapuram,21641547.25
Athiyannoor__Thiruvananthapuram,12201140.28
Attingal(M)__Thiruvananthapuram,17647829.15
Azhoor__Thiruvananthapuram,12820945.61
Balaramapuram__Thiruvananthapuram,10619099.41
Chemmaruthi__Thiruvananthapuram,17488563.6
Chenkal__Thiruvananthapuram,19773457.01
Cherunniyoor__Thiruvananthapuram,9956552.53
Chirayinkeezhu__Thiruvananthapuram,11507799.52
Edava__Thiruvananthapuram,9354853.961
Elakamon__Thiruvananthapuram,17374814.02
Kadakkavoor__Thiruvananthapuram,10814644.8
Kadinamkulam__Thiruvananthapuram,19911493.88
Kallara__Thiruvananthapuram,26143440.48
Kallikkad__Thiruvananthapuram,82290628.37
Kalliyoor__Thiruvananthapuram,17224088.68
Kanjiramkulam__Thiruvananthapuram,9359872.301
Karakulam__Thiruvananthapuram,24268226.63
Karavaram__Thiruvananthapuram,22296511.67
Karode__Thiruvananthapuram,14067665.71
Karumkulam__Thiruvananthapuram,4713572.447
Kattakada__Thiruvananthapuram,22603269.71
Kilimanoor__Thiruvananthapuram,19363658.27
Kizhuvilam__Thiruvananthapuram,13965821.19
Kollayil__Thiruvananthapuram,13445856.7
Kottukal__Thiruvananthapuram,14818128.03
Kulathoor__Thiruvananthapuram,13213235.96
Kunnathukal__Thiruvananthapuram,25133413.29
Madavoor__Thiruvananthapuram,18349515.99
Malayinkeezhu__Thiruvananthapuram,16040213.67
Manampoor__Thiruvananthapuram,14862164.22
Mangalapuram__Thiruvananthapuram,22643707.02
Manikkal__Thiruvananthapuram,33316768.11
Maranalloor__Thiruvananthapuram,25100519.61
Mudakkal__Thiruvananthapuram,25780162.33
Nagaroor__Thiruvananthapuram,23480549.85
Nanniyodu__Thiruvananthapuram,38720196.2
Navayikkulam__Thiruvananthapuram,28742548.39
Nedumangad(M)__Thiruvananthapuram,32415198.94
Nellanadu__Thiruvananthapuram,18446806.86
Neyyattinkara(M)__Thiruvananthapuram,28695204.85
Ottasekharamangalam__Thiruvananthapuram,17687661.83
Ottoor__Thiruvananthapuram,9532578.488
Pallichal__Thiruvananthapuram,18597254.92
Pallikkal__Thiruvananthapuram,16565427.89
Panavoor__Thiruvananthapuram,21942856.72
Pangod__Thiruvananthapuram,37050410.79
Parassala__Thiruvananthapuram,20194372.75
Pazhayakunnummel__Thiruvananthapuram,24800819.65
Peringammala__Thiruvananthapuram,228888722.4
Perumkadavila__Thiruvananthapuram,18051450.13
Poovachal__Thiruvananthapuram,30396753.42
Poovar__Thiruvananthapuram,9387955.178
Pothencodu__Thiruvananthapuram,19414386.28
Pulimathu__Thiruvananthapuram,26752950.83
Pullampara__Thiruvananthapuram,27659754.06
Thirupuram__Thiruvananthapuram,6569213.567
Thiruvananthapuram(C)__Thiruvananthapuram,213182504.5
Tholikkodu__Thiruvananthapuram,25030753.4
Uzhamalakkal__Thiruvananthapuram,18536291.91
Vakkam__Thiruvananthapuram,5024063.196
Vamanpuram__Thiruvananthapuram,21568327.09
Varkala(M)__Thiruvananthapuram,15589879.77
Vellanad__Thiruvananthapuram,23344699.25
Vellarada__Thiruvananthapuram,34522511.23
Vembayam__Thiruvananthapuram,30770514.67
Venganoor__Thiruvananthapuram,14763862.75
Vettoor__Thiruvananthapuram,6929396.265
Vilappil__Thiruvananthapuram,20983442.01
Vilavoorkal__Thiruvananthapuram,10439808.01
Vithura__Thiruvananthapuram,123657186.5
