name,type,N
Amboori__Thiruvananthapuram,P,15920
Anad__Thiruvananthapuram,P,31687
Anchuthengu__Thiruvananthapuram,P,17396
Andoorkonam__Thiruvananthapuram,P,30781
Aruvikkara__Thiruvananthapuram,P,33396
Aryanad__Thiruvananthapuram,P,26361
Aryancodu__Thiruvananthapuram,P,24328
Athiyannoor__Thiruvananthapuram,P,26973
Attingal(M)__Thiruvananthapuram,M,37436
Azhoor__Thiruvananthapuram,P,27390
Balaramapuram__Thiruvananthapuram,P,36134
Chemmaruthi__Thiruvananthapuram,P,32444
Chenkal__Thiruvananthapuram,P,36544
Cherunniyoor__Thiruvananthapuram,P,18114
Chirayinkeezhu__Thiruvananthapuram,P,29907
Edava__Thiruvananthapuram,P,25994
Elakamon__Thiruvananthapuram,P,25307
Kadakkavoor__Thiruvananthapuram,P,23155
Kadinamkulam__Thiruvananthapuram,P,46476
Kallara__Thiruvananthapuram,P,25844
Kallikkad__Thiruvananthapuram,P,13553
Kalliyoor__Thiruvananthapuram,P,40816
Kanjiramkulam__Thiruvananthapuram,P,18821
Karakulam__Thiruvananthapuram,P,52417
Karavaram__Thiruvananthapuram,P,30660
Karode__Thiruvananthapuram,P,32090
Karumkulam__Thiruvananthapuram,P,28290
Kattakada__Thiruvananthapuram,P,40448
Kilimanoor__Thiruvananthapuram,P,20515
Kizhuvilam__Thiruvananthapuram,P,32901
Kollayil__Thiruvananthapuram,P,25077
Kottukal__Thiruvananthapuram,P,33336
Kulathoor__Thiruvananthapuram,P,32569
Kunnathukal__Thiruvananthapuram,P,39414
Madavoor__Thiruvananthapuram,P,21091
Malayinkeezhu__Thiruvananthapuram,P,37068
Manampoor__Thiruvananthapuram,P,23198
Mangalapuram__Thiruvananthapuram,P,36956
Manikkal__Thiruvananthapuram,P,37906
Maranalloor__Thiruvananthapuram,P,36832
Mudakkal__Thiruvananthapuram,P,36467
Nagaroor__Thiruvananthapuram,P,26512
Nanniyodu__Thiruvananthapuram,P,26930
Navayikkulam__Thiruvananthapuram,P,40702
Nedumangad(M)__Thiruvananthapuram,M,60161
Nellanadu__Thiruvananthapuram,P,25981
Neyyattinkara(M)__Thiruvananthapuram,M,70850
Ottasekharamangalam__Thiruvananthapuram,P,18794
Ottoor__Thiruvananthapuram,P,16085
Pallichal__Thiruvananthapuram,P,45219
Pallikkal__Thiruvananthapuram,P,16900
Panavoor__Thiruvananthapuram,P,20348
Pangod__Thiruvananthapuram,P,29039
Parassala__Thiruvananthapuram,P,52263
Pazhayakunnummel__Thiruvananthapuram,P,24608
Peringammala__Thiruvananthapuram,P,27667
Perumkadavila__Thiruvananthapuram,P,23385
Poovachal__Thiruvananthapuram,P,43610
Poovar__Thiruvananthapuram,P,19628
Pothencodu__Thiruvananthapuram,P,29370
Pulimathu__Thiruvananthapuram,P,32293
Pullampara__Thiruvananthapuram,P,21817
Thirupuram__Thiruvananthapuram,P,18898
Thiruvananthapuram(C)__Thiruvananthapuram,C,966856
Tholikkodu__Thiruvananthapuram,P,25274
Uzhamalakkal__Thiruvananthapuram,P,21472
Vakkam__Thiruvananthapuram,P,16533
Vamanpuram__Thiruvananthapuram,P,21038
Varkala(M)__Thiruvananthapuram,M,40048
Vellanad__Thiruvananthapuram,P,31156
Vellarada__Thiruvananthapuram,P,40206
Vembayam__Thiruvananthapuram,P,38630
Venganoor__Thiruvananthapuram,P,35963
Vettoor__Thiruvananthapuram,P,18704
Vilappil__Thiruvananthapuram,P,36212
Vilavoorkal__Thiruvananthapuram,P,31761
Vithura__Thiruvananthapuram,P,26249
