,name,day,S,E,I,R
7,Ajanur__Kasaragod,1,49152.99995871153,4.128847063964941e-05,8.0,2.0
289,Kanjangad(M)__Kasaragod,1,73335.71729181617,6.282708183836935,18.4,4.6
9323,Akalakunnam__Kottayam,10,19712.951510632287,1.4386179983868168,1.7538017828461996,1.8560695864806027
10364,Alamkod__Malappuram,11,7049.996163644994,0.001168656021571278,0.0013106654971166165,0.0013570334874722185
10379,Amballur__Ernakulam,11,25627.99858537489,0.0004511186305958204,0.00048351084698569754,0.0004799956281085517
10383,Anakkayam__Malappuram,11,9824.99974488268,8.468925122667029e-05,8.734494501609585e-05,8.308312018674268e-05
10389,Angamali(M)__Ernakulam,11,33464.99938426908,0.00020842691136949997,0.00021042995654259872,0.0001968740507367356
10392,Annamanada__Thrissur,11,30288.99438220424,0.001781556671653123,0.001919857450399985,0.0019163816325360752
10395,Arakkulam__Idukki,11,18480.991382566965,0.0026474577887149,0.002947456911696899,0.0030225183325318984
10398,Aranmula__Pathanamthitta,11,28694.997560416337,0.0007627995658409883,0.0008319730324285014,0.0008448110611148295
10401,Arikkulam__Kozhikode,11,18377.999234893923,0.0002481808825793843,0.00026163850531606917,0.0002552866896126707
10402,Arimpoor__Thrissur,11,32291.997854859674,0.0007259265053612821,0.000740333963317889,0.0006788798595394818
10438,Bedadka__Kasaragod,11,27867.89896235742,0.03454994590472493,0.03486121340005744,0.031626483281431125
10468,Chemmanad__Kasaragod,11,54746.88423703168,0.03971518165747775,0.03994455359383271,0.03610323307335117
10472,Chengala__Kasaragod,11,56780.910849317275,0.030679739179505082,0.03077037691762788,0.027700566622246285
10678,Kasaragod(M)__Kasaragod,11,54171.81563551457,0.06250246538891371,0.06357837163860458,0.05828364839442643
10717,Kodom-Belur__Kasaragod,11,33210.78004349768,0.07588590011848244,0.0759488126176109,0.06812178958308322
10757,Kottayam(M)__Kottayam,11,138282.9818817556,0.005965463543718911,0.006180510733873419,0.005972270128588164
10918,Muliyar__Kasaragod,11,25094.94611288873,0.018485356909700552,0.01859592027841908,0.01680583408044538
11024,Pallikkara__Kasaragod,11,43254.705526368576,0.09766026534187086,0.10137488772913356,0.09543847834993083
11142,Pullur-Periya__Kasaragod,11,29641.70595747254,0.09797927327545315,0.10126626065147745,0.09479699352747854
11199,Thalakulathur__Kozhikode,11,29387.999042717314,0.00031722272752594024,0.00032734406743507936,0.000312715888167702
11200,Thalanad__Kottayam,11,7028.999663284785,0.00011503339283175367,0.0001162545252623668,0.00010542729655922426
11203,Thalavadi__Alappuzha,11,20458.996311283245,0.0012014427822500087,0.0012577850776225685,0.001229488893142854
11209,Thamarassery__Kozhikode,11,35705.9776614404,0.006838356271467297,0.007639711121721182,0.007860492194695605
11215,Thariyod__Wayanad,11,2733.999875053159,4.104357713225375e-05,4.286852443064076e-05,4.103474020381278e-05
11216,Tharur__Palakkad,11,26177.99815008111,0.00062391555777825,0.0006381446051806188,0.000587858724295736
11219,Thazhakkara__Alappuzha,11,35988.997735306206,0.0007215535359494242,0.0007764362664413588,0.000766703980170631
11226,Thenkara__Palakkad,11,29526.998979506312,0.0003358828136075478,0.0003503148705058147,0.00033429600298202705
11230,Thevalakkara__Kollam,11,42976.998804708484,0.0003925747505220304,0.0004091798207461558,0.00039353693742291403
11234,Thirumaradi__Ernakulam,11,17584.99673885471,0.001054957314151562,0.00112074516901264,0.0010854428012515571
11237,Thirunelli__Wayanad,11,6901.99977045651,7.778200643207499e-05,7.874803696857702e-05,7.30134461514163e-05
11238,Thirupuram__Thiruvananthapuram,11,18897.99874830203,0.0004107793790458773,0.000430556900760963,0.00041036168850104777
11240,Thirurangadi(M)__Malappuram,11,56631.99763804785,0.0007834785604057721,0.0008060351357880017,0.0007724384429703189
11244,Thiruvambadi__Kozhikode,11,28819.99853501895,0.0004811007270594835,0.0005004273965877649,0.00048345292598210246
11256,Thottapuzhassery__Pathanamthitta,11,14468.999183555816,0.0002585905774602504,0.00027988164986254404,0.00027797195688894136
11260,Thrikkaruva__Kollam,11,25431.943720958792,0.017315890665947742,0.019260459259246385,0.019702691276284472
11267,Thriprangottur__Kannur,11,29910.999029990246,0.00032683098212239335,0.00033258281918684693,0.0003105959537605674
11268,Thrissur(C)__Thrissur,11,315956.97546668263,0.00800388299599655,0.008434830757466661,0.008094603652083301
11272,Thuravoor__Alappuzha,11,28801.997461868734,0.0008006411042130991,0.0008683153017036931,0.0008691748581991078
11275,Thuvvoor__Malappuram,11,7683.999503942043,0.00015849860704388665,0.0001699224542655187,0.000167636895652117
11280,Uduma__Kasaragod,11,37536.79459890344,0.06904236937350335,0.07078625438063614,0.06557247281135507
11385,ARNagar__Malappuram,12,7337.999763211621,8.312252174853397e-05,8.399547406321887e-05,6.967038273797794e-05
11386,Adat__Thrissur,12,31972.998960310735,0.00030561242024583317,0.00035076030094346674,0.00038331654651683567
11387,Adichanalloor__Kollam,12,33637.999226391934,0.0002549942327446518,0.0002696059982737379,0.00024900783064475224
11389,Adoor(M)__Pathanamthitta,12,29170.99961929442,0.00012679640811643145,0.00013323512647723845,0.00012067404332729651
11390,Agali__Palakkad,12,34940.999407561816,0.00020272995997903205,0.00020959919519475146,0.00018010902342980385
11391,Aiykkaranadu__Ernakulam,12,21106.999527799635,0.00015937770813678423,0.00016006710486050956,0.0001527555564205703
11413,Ambalavayal__Wayanad,12,8567.99983319774,5.8611595303368766e-05,5.9403906912295134e-05,4.8786756507062415e-05
11415,Amboori__Thiruvananthapuram,12,15919.999434868812,0.0002034242826940483,0.00020476366710586204,0.00015694323568265443
11419,Ananganadi__Palakkad,12,24444.99940743235,0.00018405510796406328,0.00020420097651408525,0.0002043115661971744
11420,Anchal__Kollam,12,33087.99910180084,0.0002932950886760491,0.00030685371498954207,0.00029805036218590785
11421,Anchuthengu__Thiruvananthapuram,12,17395.99975860592,8.50623816556598e-05,8.561338316671886e-05,7.071831689281252e-05
11422,Andoorkonam__Thiruvananthapuram,12,30780.999783012125,7.530602851535643e-05,7.567900024485495e-05,6.600284379009973e-05
11423,Angadippuram__Malappuram,12,11711.999931401026,2.2880593434826078e-05,2.3906149795262885e-05,2.181223350531758e-05
11425,Anikkad__Pathanamthitta,12,14584.999676057514,0.0001038295102753845,0.00011266305774241785,0.0001074499190500838
11438,Aroor__Alappuzha,12,41145.99933035396,0.00022675939647807622,0.00023604561306611103,0.0002068410194644745
11440,Arukutty__Alappuzha,12,19410.999665178595,0.00011451236974268194,0.00011838220553800691,0.00010192682826402072
11441,Aruvappulam__Pathanamthitta,12,19535.999824704882,5.863257648721249e-05,6.158700950158748e-05,5.507553077048668e-05
