iName,1.0,2.0,3.0,4.0,5.0,6.0
ARNagar__Malappuram,ARNagar__Malappuram (7044.48),Thirurangadi(M)__Malappuram (80.51543346243841),Kozhikkode(C)__Kozhikode (30.658582154769864),Parappanangadi(M)__Malappuram (29.062432734764975),Kondotty(M)__Malappuram (15.451624749998446),Thanur(M)__Malappuram (15.07462748723255)
Adat__Thrissur,Adat__Thrissur (29095.43),Thrissur(C)__Thrissur (1277.402356336775),Tholoor__Thrissur (108.07574523194744),Kaiparambu__Thrissur (101.80461311174008),Kolazhi__Thrissur (69.3681146655966),Arimpoor__Thrissur (68.74056149677034)
Adichanalloor__Kollam,Adichanalloor__Kollam (30610.58),Kollam(C)__Kollam (692.3492458601286),Chathanoor__Kollam (354.1024359933319),Nedumpana__Kollam (245.2528996768179),Thrikkovilvattom__Kollam (207.19572634942207),Paravoor(M)__Kollam (130.7255289549888)
Adimali__Idukki,Adimali__Idukki (36840.44),Vannappuram__Idukki (132.69777322867458),Idukki- Kanjikkuzhi__Idukki (122.14747003011418),Pallivasal__Idukki (80.64173910692726),Vellathooval__Idukki (74.85468544026891),Thodupuzha(M)__Idukki (73.79686287480943)
Adoor(M)__Pathanamthitta,Adoor(M)__Pathanamthitta (26545.61),Erathu__Pathanamthitta (160.0511102554592),Ezhamkulam__Pathanamthitta (146.90132123943),Kollam(C)__Kollam (133.13912475218336),Pandalam Thekkekara__Pathanamthitta (132.20043016769327),Pandalam(M)__Pathanamthitta (127.38063485674921)
Agali__Palakkad,Agali__Palakkad (31796.31),Kanjirappuzha__Palakkad (171.99790862551168),Palakkad(M)__Palakkad (122.4800977653018),Kozhikkode(C)__Kozhikode (115.75079494221744),Puthur__Palakkad (112.5015058872227),Mannarkkad(M)__Palakkad (94.84400642815282)
Aiykkaranadu__Ernakulam,Aiykkaranadu__Ernakulam (19207.37),Poothrika__Ernakulam (133.43491500897736),Kunnathunad__Ernakulam (111.2934516991831),Thrippunithura(M)__Ernakulam (96.41256396981872),Mazhuvannur__Ernakulam (81.71048742699325),Thrikkakkara(M)__Ernakulam (70.53284583990808)
Ajanur__Kasaragod,Ajanur__Kasaragod (44729.23),Kanjangad(M)__Kasaragod (1287.1382298938945),Pallikkara__Kasaragod (415.1086068734725),Pullur-Periya__Kasaragod (355.47138073115093),Nileswaram(M)__Kasaragod (217.24352740768217),Uduma__Kasaragod (151.69464910793118)
Akalakunnam__Kottayam,Akalakunnam__Kottayam (18929.28),Kozhuvanal__Kottayam (60.72990716879204),Kooroppada__Kottayam (46.831922622051636),Kottayam(M)__Kottayam (37.21637156335082),Ettumanoor(M)__Kottayam (31.58998026265085),Ayarkunnam__Kottayam (27.194346444171657)
Akathethara__Palakkad,Akathethara__Palakkad (27448.32),Palakkad(M)__Palakkad (401.0947695121087),Puthupariyaram__Palakkad (117.39654144887876),Pirayiri__Palakkad (49.473462553387364),Marutharoad__Palakkad (38.83617037680354),Mundoor__Palakkad (24.33173608182838)
Ala__Alappuzha,Ala__Alappuzha (12189.45),Cheriyanad__Alappuzha (106.15493767835312),Chengannur(M)__Alappuzha (102.29574710580304),Mulakuzha__Alappuzha (74.95778670351896),Puliyoor__Alappuzha (74.72910365312872),Venmony__Alappuzha (41.83914733248264)
Alagappa Nagar__Thrissur,Alagappa Nagar__Thrissur (26700.309999999998),Thrissur(C)__Thrissur (534.7607889088538),Puthukkad__Thrissur (351.3506464271999),Thrikoor__Thrissur (315.1464644638277),Iringalakkuda(M)__Thrissur (96.22298255800972),Nenmanikkara__Thrissur (77.55576126928833)
Alakode__Idukki,Alakode__Idukki (8888.880000000001),Thodupuzha(M)__Idukki (117.82717159526311),Edavetti__Idukki (75.06519202683673),Velliyamattam__Idukki (25.01253631148657),Muttom__Idukki (24.511343261769408),Kudayathoor__Idukki (20.336199275935726)
