,iName,jName,Cij
0,Amboori,Amboori,0.9806858371730629
1,Amboori,Anad,5.234899561728604e-06
2,Amboori,Anchuthengu,6.438737890440452e-07
3,Amboori,Andoorkonam,1.8067456382400919e-06
4,Amboori,Aruvikkara,1.0643615951694365e-05
5,Amboori,Aryanad,8.39030722519181e-05
6,Amboori,Aryancodu,0.0005063011444045683
7,Amboori,Athiyannoor,1.0092813723742108e-05
8,Amboori,Attingal(M),2.374064985707896e-06
9,Amboori,Azhoor,1.425010787469186e-06
10,Amboori,Balaramapuram,1.7001431742836884e-05
11,Amboori,Chemmaruthi,1.7381810676431466e-06
12,Amboori,Chenkal,3.486833339869734e-05
13,Amboori,Cherunniyoor,6.802331241249675e-07
14,Amboori,Chirayinkeezhu,1.5789042334221924e-06
15,Amboori,Edava,1.1629064890330064e-06
16,Amboori,Elakamon,1.127551112823219e-06
17,Amboori,Kadakkavoor,1.03477724481996e-06
18,Amboori,Kadinamkulam,3.4060286922691184e-06
19,Amboori,Kallara,1.5997052943908035e-06
20,Amboori,Kallikkad,0.009122863794705609
21,Amboori,Kalliyoor,1.105142628847759e-05
22,Amboori,Kanjiramkulam,3.821479307677765e-06
23,Amboori,Karakulam,9.645438351065663e-06
24,Amboori,Karavaram,1.6731376387519265e-06
25,Amboori,Karode,2.171338136474412e-05
26,Amboori,Karumkulam,5.612946910737771e-06
27,Amboori,Kattakada,0.00020872790192694342
28,Amboori,Kilimanoor,9.32263734004696e-07
29,Amboori,Kizhuvilam,1.8847754386259501e-06
30,Amboori,Kollayil,4.6839654435872196e-05
31,Amboori,Kottukal,8.598707144564921e-06
32,Amboori,Kulathoor,1.9733878367104565e-05
33,Amboori,Kunnathukal,0.0004989404061695788
34,Amboori,Madavoor,9.376904872989566e-07
35,Amboori,Malayinkeezhu,3.413792200206436e-05
36,Amboori,Manampoor,1.038010694769686e-06
37,Amboori,Mangalapuram,2.3848196504447007e-06
38,Amboori,Manikkal,2.748558727820325e-06
39,Amboori,Maranalloor,9.555289678361798e-05
40,Amboori,Mudakkal,2.3818477802753263e-06
41,Amboori,Nagaroor,1.3591254064462575e-06
42,Amboori,Nanniyodu,2.0970242225355624e-06
43,Amboori,Navayikkulam,2.6240765157839587e-06
44,Amboori,Nedumangad(M),1.405130041672039e-05
45,Amboori,Nellanadu,1.4889334971369736e-06
46,Amboori,Neyyattinkara(M),0.0001353271734068122
47,Amboori,Ottasekharamangalam,0.003450959862585461
48,Amboori,Ottoor,5.738179653698683e-07
49,Amboori,Pallichal,1.966451733420538e-05
50,Amboori,Pallikkal,6.368386428792665e-07
51,Amboori,Panavoor,1.2723700653464757e-06
52,Amboori,Pangod,2.0052957720475706e-06
53,Amboori,Parassala,0.00010263059283130001
54,Amboori,Pazhayakunnummel,1.3011508197885923e-06
55,Amboori,Peringammala,9.04048217727441e-06
56,Amboori,Perumkadavila,7.209274887475248e-05
57,Amboori,Poovachal,0.00035840814427898356
58,Amboori,Poovar,7.278478819314459e-06
59,Amboori,Pothencodu,1.764618568973025e-06
60,Amboori,Pulimathu,2.0580948263420233e-06
61,Amboori,Pullampara,1.2458072729680836e-06
62,Amboori,Thirupuram,8.277463766787196e-06
63,Amboori,Thiruvananthapuram(C),0.0013991451528402449
64,Amboori,Tholikkodu,7.373219080360264e-06
65,Amboori,Uzhamalakkal,1.0303178906521299e-05
66,Amboori,Vakkam,5.975579604113326e-07
67,Amboori,Vamanpuram,1.0833838929328671e-06
68,Amboori,Varkala(M),2.4570800803835e-06
69,Amboori,Vellanad,2.547597369519006e-05
70,Amboori,Vellarada,0.0027835024363915602
71,Amboori,Vembayam,2.9566688648847705e-06
72,Amboori,Venganoor,7.940617301467386e-06
73,Amboori,Vettoor,6.947795811779741e-07
74,Amboori,Vilappil,2.2174853865687762e-05
75,Amboori,Vilavoorkal,1.1212230600001268e-05
76,Anad,Amboori,2.6300880810022835e-06
77,Anad,Anad,0.9710082827682651
78,Anad,Anchuthengu,3.387935075668055e-06
79,Anad,Andoorkonam,6.803492905794284e-06
80,Anad,Aruvikkara,0.00033075292684334797
81,Anad,Aryanad,9.792566213041196e-05
82,Anad,Aryancodu,2.6733557066890136e-06
83,Anad,Athiyannoor,2.7415432643252485e-06
84,Anad,Attingal(M),1.614389468694935e-05
85,Anad,Azhoor,3.801155499472814e-06
