,name,day,S,E,I,H,R
0,Ajanur__Kasaragod,1,49152.58661715666,0.4133828433437129,0,0,0
1,Badiyaduka__Kasaragod,1,34206.993682175984,0.006317824014121198,0,0,0
2,Balal__Kasaragod,1,23669.989822711123,0.010177288878852563,0,0,0
3,Bedadka__Kasaragod,1,27867.9821202104,0.017879789600500344,0,0,0
4,Beloor__Kasaragod,1,10240.998648887893,0.0013511121063300843,0,0,0
5,Chemmanad__Kasaragod,1,54746.9677023357,0.03229766429989277,0,0,0
6,Chengala__Kasaragod,1,56780.98177946738,0.018220532619413497,0,0,0
7,Cheruvathur__Kasaragod,1,27434.862721361227,0.13727863877317747,0,0,0
8,Delampadi__Kasaragod,1,22772.996054848518,0.003945151481190879,0,0,0
9,East Eleri__Kasaragod,1,25074.98994474703,0.010055252971114216,0,0,0
10,Enmakaje__Kasaragod,1,26823.99610278153,0.0038972184698823015,0,0,0
11,Kallar__Kasaragod,1,19413.990925166177,0.00907483382221429,0,0,0
12,Kanjangad(M)__Kasaragod,1,73120.45463384762,221.54536615237566,18.4,4.6,0
13,Karaduka__Kasaragod,1,21210.996472154005,0.003527845995258634,0,0,0
14,Kasaragod(M)__Kasaragod,1,54171.982328220096,0.017671779902573386,0,0,0
15,Kayyur-Chimeni__Kasaragod,1,23494.966935724296,0.03306427570409443,0,0,0
16,Kinanur-Karindalam__Kasaragod,1,27584.97340341051,0.026596589489563862,0,0,0
17,Kodom-Belur__Kasaragod,1,33210.923467338944,0.07653266105449776,0,0,0
18,Kumbadaje__Kasaragod,1,14771.998130739363,0.001869260637761237,0,0,0
19,Kumbala__Kasaragod,1,46690.99262427748,0.007375722517444157,0,0,0
20,Kuttikol__Kasaragod,1,24922.99398396376,0.006016036242636136,0,0,0
21,Madhur__Kasaragod,1,41462.99196933753,0.008030662469716725,0,0,0
22,Madikai__Kasaragod,1,22049.38232921556,0.6176707844405873,0,0,0
23,Mangalpady__Kasaragod,1,48440.992729058,0.007270942000160504,0,0,0
24,Manjeswaram__Kasaragod,1,41514.99469080336,0.005309196637301659,0,0,0
25,Meencha__Kasaragod,1,23317.99767711343,0.002322886569656736,0,0,0
26,Mogral-Puthur__Kasaragod,1,24838.99608663835,0.003913361649014779,0,0,0
27,Muliyar__Kasaragod,1,25094.992677928072,0.007322071927516174,0,0,0
28,Nileswaram(M)__Kasaragod,1,39751.47226867899,0.5277313210134488,0,0,0
29,Padanna__Kasaragod,1,22133.97128773885,0.028712261150886268,0,0,0
30,Paivalike__Kasaragod,1,34273.99594824124,0.004051758762920147,0,0,0
31,Pallikkara__Kasaragod,1,43254.948854726965,0.0511452730384912,0,0,0
32,Pananthadi__Kasaragod,1,22975.995331417274,0.00466858272632787,0,0,0
33,Pilicode__Kasaragod,1,25121.955600247158,0.044399752841630065,0,0,0
34,Pullur-Periya__Kasaragod,1,29641.92704315003,0.07295684996887586,0,0,0
35,Puthige__Kasaragod,1,21822.99733969463,0.0026603053711389433,0,0,0
36,Thrikkarippur__Kasaragod,1,38686.944591326006,0.05540867399059561,0,0,0
37,Uduma__Kasaragod,1,37536.97429083021,0.025709169790869724,0,0,0
38,Valiyaparampa__Kasaragod,1,12789.988496927814,0.011503072187167193,0,0,0
39,Vorkady__Kasaragod,1,25755.997525950912,0.0024740490874319773,0,0,0
40,West Eleri__Kasaragod,1,29316.0,0.0,0,0,0
41,Ajanur__Kasaragod,2,49152.25591366326,0.6614097680690394,0.08267656866874258,0,0
42,Badiyaduka__Kasaragod,2,34206.98860400111,0.010132434084113302,0.0012635648028242396,0,0
43,Balal__Kasaragod,2,23669.981662188115,0.016302354112398998,0.0020354577757705126,0,0
44,Bedadka__Kasaragod,2,27867.967709274006,0.028714768074036768,0.003575957920100069,0,0
45,Beloor__Kasaragod,2,10240.99756234237,0.0021674352066401396,0.00027022242126601684,0,0
46,Chemmanad__Kasaragod,2,54746.941650562694,0.05188990444343196,0.006459532859978553,0,0
47,Chengala__Kasaragod,2,56780.96691552281,0.029440370664446158,0.0036441065238826996,0,0
48,Cheruvathur__Kasaragod,2,27434.752808933597,0.21973533864904166,0.027455727754635496,0,0
49,Delampadi__Kasaragod,2,22772.99286534123,0.00634562846950542,0.0007890302962381757,0,0
50,East Eleri__Kasaragod,2,25074.98183503913,0.016153910279870926,0.002011050594222843,0,0
51,Enmakaje__Kasaragod,2,26823.992931116205,0.006289440102318759,0.0007794436939764603,0,0
52,Kallar__Kasaragod,2,19413.983599069794,0.014585963442675206,0.001814966764442858,0,0
53,Kanjangad(M)__Kasaragod,2,72943.75104051697,353.9398862525411,59.029073230475134,7.768888888888888,0.5111111111111111
54,Karaduka__Kasaragod,2,21210.985068474463,0.014225956338354091,0.0007055691990517268,0,0
55,Kasaragod(M)__Kasaragod,2,54171.925136258644,0.07132938537404727,0.003534355980514677,0,0
56,Kayyur-Chimeni__Kasaragod,2,23494.860642294894,0.13274484996639913,0.006612855140818887,0,0
57,Kinanur-Karindalam__Kasaragod,2,27584.88759980845,0.1070808736490742,0.005319317897912772,0,0
58,Kodom-Belur__Kasaragod,2,33210.67731049829,0.30738296949316707,0.01530653221089955,0,0
59,Kumbadaje__Kasaragod,2,14771.992039896797,0.007586251075510308,0.0003738521275522474,0,0
60,Kumbala__Kasaragod,2,46690.96887433375,0.02965052174798841,0.0014751445034888314,0,0
61,Kuttikol__Kasaragod,2,24922.974407297534,0.024389495219590485,0.0012032072485272272,0,0
62,Madhur__Kasaragod,2,41462.965949549805,0.03244431769563705,0.001606132493943345,0,0
63,Madikai__Kasaragod,2,22047.400064210327,2.476401632787381,0.12353415688811746,0,0
64,Mangalpady__Kasaragod,2,48440.9692368685,0.02930894310185081,0.001454188400032101,0,0
65,Manjeswaram__Kasaragod,2,41514.97755542888,0.021382731787654236,0.0010618393274603318,0,0
66,Meencha__Kasaragod,2,23317.990116034038,0.009419388648468103,0.0004645773139313472,0,0
67,Mogral-Puthur__Kasaragod,2,24838.98333839434,0.015878933331869415,0.0007826723298029559,0,0
68,Muliyar__Kasaragod,2,25094.968749278465,0.02978630714941688,0.0014644143855032348,0,0
69,Nileswaram(M)__Kasaragod,2,39749.77531549776,2.119138238037422,0.10554626420268975,0,0
70,Padanna__Kasaragod,2,22133.87847523355,0.11578231422115055,0.0057424522301772534,0,0
71,Paivalike__Kasaragod,2,34273.98281028539,0.016379362852058654,0.0008103517525840294,0,0
72,Pallikkara__Kasaragod,2,43254.782401956574,0.20736898881801827,0.01022905460769824,0,0
73,Pananthadi__Kasaragod,2,22975.98007574358,0.01899053987535877,0.000933716545265574,0,0
74,Pilicode__Kasaragod,2,25121.811089098876,0.1800309505561005,0.008879950568326012,0,0
75,Pullur-Periya__Kasaragod,2,29641.68765277453,0.2977558554758274,0.014591369993775171,0,0
76,Puthige__Kasaragod,2,21822.988614430684,0.01085350824220439,0.0005320610742277886,0,0
77,Thrikkarippur__Kasaragod,2,38686.76527648968,0.223641775520678,0.011081734798119122,0,0
78,Uduma__Kasaragod,2,37536.89038752764,0.10447063840281919,0.005141833958173945,0,0
79,Valiyaparampa__Kasaragod,2,12789.950744735674,0.046954649888982174,0.0023006144374334387,0,0
80,Vorkady__Kasaragod,2,25755.989463052487,0.010042137694427125,0.0004948098174863954,0,0
81,West Eleri__Kasaragod,2,29316.0,0.0,0,0,0
82,Ajanur__Kasaragod,3,49150.39700370343,2.3880377742907943,0.19842320854880194,0.016535313733748516,0
83,Badiyaduka__Kasaragod,3,34206.959933303326,0.03677664505444565,0.003037338659082052,0.0002527129605648479,0
84,Balal__Kasaragod,3,23669.935573645722,0.059130425681548075,0.00488883704309621,0.00040709155515410253,0
85,Bedadka__Kasaragod,3,27867.886496441843,0.10418464662094086,0.008603719950887408,0.0007151915840200138,0
86,Beloor__Kasaragod,3,10240.991425939053,0.007870351481881675,0.0006496649783408414,5.4044484253203366e-05,0
87,Chemmanad__Kasaragod,3,54746.79531494803,0.18784753821590633,0.015545607176669234,0.0012919065719957106,0
88,Chengala__Kasaragod,3,56780.8840064483,0.10646137103979281,0.008803359351995391,0.0007288213047765399,0
89,Cheruvathur__Kasaragod,3,27434.1302887988,0.7983084057190872,0.06591164993351672,0.005491145550927099,0
90,Delampadi__Kasaragod,3,22772.974896340067,0.023045503939206038,0.0019003499308916246,0.00015780605924763515,0
91,East Eleri__Kasaragod,3,25074.9360935281,0.058664639252098146,0.0048396225313524594,0.00040221011884456864,0
92,Enmakaje__Kasaragod,3,26823.97518294121,0.02277972707950303,0.00188144297564492,0.00015588873879529206,0
93,Kallar__Kasaragod,3,19413.942303788946,0.05296405160257159,0.004369166100089328,0.0003629933528885716,0
94,Kanjangad(M)__Kasaragod,3,72378.22016197997,848.6827875390345,118.01123583488832,18.711493658440705,1.374320987654321
95,Karaduka__Kasaragod,3,21210.955376639646,0.04107259988709492,0.0034096466269122,0.00014111383981034535,0
96,Kasaragod(M)__Kasaragod,3,54171.77622716753,0.20597259941493018,0.017093361859221196,0.0007068711961029354,0
97,Kayyur-Chimeni__Kasaragod,3,23494.583111023345,0.3837271515218196,0.03183925410593493,0.0013225710281637773,0
98,Kinanur-Karindalam__Kasaragod,3,27584.66252075519,0.3107437521803771,0.02567162904814506,0.0010638635795825544,0
99,Kodom-Belur__Kasaragod,3,33210.03103895805,0.8921779158359266,0.07372181966735306,0.00306130644217991,0
100,Kumbadaje__Kasaragod,3,14771.976137962,0.021970935657214946,0.0018163319171438596,7.477042551044948e-05,0
101,Kumbala__Kasaragod,3,46690.90688162278,0.08571312836277882,0.007110219952388747,0.0002950289006977663,0
102,Kuttikol__Kasaragod,3,24922.92341449496,0.07050439875195293,0.005840464842739879,0.00024064144970544545,0
103,Madhur__Kasaragod,3,41462.89797362489,0.09393137907678087,0.007773769534282085,0.000321226498788669,0
104,Madikai__Kasaragod,3,22042.25746690717,7.123718609387364,0.5941076520679701,0.024706831377623494,0
105,Mangalpady__Kasaragod,3,48440.907808207405,0.08487581557259428,0.007025139340395842,0.00029083768000642016,0
106,Manjeswaram__Kasaragod,3,41514.93275647505,0.06190513925833551,0.005126017819499112,0.00021236786549206637,0
107,Meencha__Kasaragod,3,23317.970262543913,0.02738900104443351,0.0022555395808386983,9.291546278626944e-05,0
108,Mogral-Puthur__Kasaragod,3,24838.949870884724,0.0461706562812966,0.0038019245302162476,0.00015653446596059119,0
109,Muliyar__Kasaragod,3,25094.906513613812,0.0860647103737591,0.007128792938285964,0.00029288287710064695,0
110,Nileswaram(M)__Kasaragod,3,39745.36550554246,6.105120545730015,0.5082646589696362,0.02110925284053795,0
111,Padanna__Kasaragod,3,22133.635640347235,0.33546073769222245,0.027750424628371916,0.0011484904460354506,0
112,Paivalike__Kasaragod,3,34273.94838890558,0.04752487009445649,0.003924153972478955,0.0001620703505168059,0
113,Pallikkara__Kasaragod,3,43254.34884961898,0.5994475286432138,0.04965704144976225,0.002045810921539648,0
114,Pananthadi__Kasaragod,3,22975.940155649954,0.05511252552769762,0.004545081211284213,0.00018674330905311482,0
115,Pilicode__Kasaragod,3,25121.43263513046,0.5224787288627822,0.04311015056588091,0.0017759901136652025,0
116,Pullur-Periya__Kasaragod,3,29641.06558907397,0.8602683849402845,0.07122426709018562,0.0029182739987550343,0
117,Puthige__Kasaragod,3,21822.965796559158,0.03150067811908415,0.002596350507823109,0.00010641221484555772,0
118,Thrikkarippur__Kasaragod,3,38686.29599427533,0.6481956347642404,0.0535937429426309,0.0022163469596238245,0
119,Uduma__Kasaragod,3,37536.671245655176,0.30271838318706384,0.025007594847102993,0.001028366791634789,0
120,Valiyaparampa__Kasaragod,3,12789.851108182816,0.1372002727674761,0.011231421527743188,0.00046012288748668775,0
121,Vorkady__Kasaragod,3,25755.968274608567,0.02922215407442355,0.0024042753928745415,9.896196349727909e-05,0
122,West Eleri__Kasaragod,3,29316.0,0.0,0,0,0
123,Ajanur__Kasaragod,4,49146.353730269264,5.953703653599237,0.6363461216972004,0.05438269836198129,0.001837257081527613
124,Badiyaduka__Kasaragod,4,34206.89716175997,0.09219285940117498,0.009785199938154772,0.0008321014745407197,2.8079217840538658e-05
125,Balal__Kasaragod,4,23669.83468253076,0.14819545550744712,0.015737154770786584,0.001339626568756222,4.5232395017122504e-05
126,Bedadka__Kasaragod,4,27867.707899692687,0.26194446645102964,0.0277199052848981,0.0023564698426397157,7.94657315577793e-05
127,Beloor__Kasaragod,4,10240.977939828306,0.01978239193224187,0.002093802279049008,0.00017797253722657126,6.004942694800374e-06
128,Chemmanad__Kasaragod,4,54746.474148688554,0.47144429004676536,0.05000599338451665,0.004257482832663367,0.00014354517466619006
129,Chengala__Kasaragod,4,56780.70181504035,0.2673605047813794,0.028334961689554874,0.0024085130302004473,8.09801449751711e-05
130,Cheruvathur__Kasaragod,4,27432.76057818393,2.0083573394453387,0.21239100109063083,0.0180633482541941,0.0006101272834363444
131,Delampadi__Kasaragod,4,22772.935312727768,0.05802001545082136,0.006129380732554507,0.0005203420388428894,1.753400658307057e-05
132,East Eleri__Kasaragod,4,25074.835698582574,0.14732665692690552,0.015604625875501599,0.0013254446119101084,4.469001320495207e-05
133,Enmakaje__Kasaragod,4,26823.936206982024,0.05719974084713637,0.0060610997964165424,0.0005148563629470213,1.732097097725467e-05
134,Kallar__Kasaragod,4,19413.851388349252,0.13328668097701796,0.01408814320058578,0.0011964939781410402,4.0332594765396845e-05
135,Kanjangad(M)__Kasaragod,4,71256.310306588,1800.8560854232096,264.1455461757176,40.23468597448051,3.4533758385921773
136,Karaduka__Kasaragod,4,21210.87092063059,0.1173140889659123,0.010942237278948743,0.0008073638496583024,1.5679315534482816e-05
137,Kasaragod(M)__Kasaragod,4,54171.35246319472,0.5885420523402198,0.05486920937036299,0.004047002323935737,7.854124401143727e-05
138,Kayyur-Chimeni__Kasaragod,4,23493.79406734245,1.096025402113381,0.10221683358911185,0.007543469512888121,0.00014695233646264193
139,Kinanur-Karindalam__Kasaragod,4,27584.020916580983,0.8901991759534853,0.08268605367459146,0.0060799823248135045,0.0001182070643980616
140,Kodom-Belur__Kasaragod,4,33208.18701795732,2.557763333394557,0.23741303890106777,0.01746552521540831,0.0003401451602422122
141,Kumbadaje__Kasaragod,4,14771.930805503298,0.06290920722728803,0.005847252665158077,0.00042972898388250475,8.30782505671661e-06
142,Kumbala__Kasaragod,4,46690.73061360414,0.24483852133273498,0.02283080163446676,0.001684291902209097,3.278098896641848e-05
143,Kuttikol__Kasaragod,4,24922.778076028262,0.20174198569784518,0.018773251624582488,0.0013819964793972605,2.6737938856160606e-05
144,Madhur__Kasaragod,4,41462.704412920815,0.2687058073313712,0.025005291442781838,0.0018402885724463451,3.5691833198741e-05
145,Madikai__Kasaragod,4,22027.717315738282,20.239126056397716,1.9000298435318488,0.14078315830481491,0.0027452034864026103
146,Mangalpady__Kasaragod,4,48440.73302425867,0.2426846011937513,0.02259527458683553,0.0016635502503070977,3.2315297778491126e-05
147,Manjeswaram__Kasaragod,4,41514.80529430978,0.1769862766770537,0.01648184210726639,0.0012139749998927704,2.3596429499118487e-05
148,Meencha__Kasaragod,4,23317.91365514442,0.07851860032864513,0.00728223187355766,0.0005336994386444236,1.0323940309585495e-05
149,Mogral-Puthur__Kasaragod,4,24838.854405465365,0.13240194438565178,0.012275670880432318,0.000899526653563775,1.7392718440065688e-05
150,Muliyar__Kasaragod,4,25094.729000225856,0.24636515625534847,0.02291597642538059,0.0016860989228577677,3.254254190007188e-05
151,Nileswaram(M)__Kasaragod,4,39732.874284270794,17.37531770825042,1.627635836321712,0.12041671209662765,0.00234547253783755
152,Padanna__Kasaragod,4,22132.94440174771,0.9596071896765135,0.08929248724114203,0.006570965322150339,0.0001276100495594945
153,Paivalike__Kasaragod,4,34273.85032716362,0.13608163803405507,0.012644297196874462,0.0009288933282885074,1.8007816724089545e-05
154,Pallikkara__Kasaragod,4,43253.112896151215,1.715511490683443,0.15961513888845255,0.01174990688687658,0.00022731232461551643
155,Pananthadi__Kasaragod,4,22975.826122057373,0.15812361300348013,0.014658570074566894,0.0010750102947485,2.0749256561457203e-05
156,Pilicode__Kasaragod,4,25120.35434605651,1.496272057038955,0.13898386622526118,0.010200687991989695,0.00019733223485168916
157,Pullur-Periya__Kasaragod,4,29639.29023654391,2.4635672380100413,0.22903309066020539,0.01683887475026382,0.00032425266652833716
158,Puthige__Kasaragod,4,21822.900663997392,0.0903331042598396,0.008377216030075317,0.0006138587369828954,1.1823579427284192e-05
159,Thrikkarippur__Kasaragod,4,38684.96044007106,1.854110712081483,0.1725141213069528,0.012688834774858467,0.00024626077329153605
160,Uduma__Kasaragod,4,37536.04668852513,0.8667318365975247,0.08054975251509516,0.0059156227842070775,0.00011426297684830988
161,Valiyaparampa__Kasaragod,4,12789.566200353938,0.3946680470923855,0.03642519177568977,0.0026552824277590267,5.112476527629864e-05
162,Vorkady__Kasaragod,4,25755.907830520624,0.0838218112046731,0.007767851129184343,0.0005688212683502675,1.09957737219199e-05
163,West Eleri__Kasaragod,4,29316.0,0.0,0,0,0
164,Ajanur__Kasaragod,5,49135.44230561504,15.674387577101697,1.6998176280776078,0.17560940066120123,0.007879779121747758
165,Badiyaduka__Kasaragod,5,34206.72691769878,0.24399834870856923,0.026266731830758817,0.0026966857427782607,0.00012053493723395196
166,Balal__Kasaragod,5,23669.561217193972,0.3920217011948954,0.042228814918118696,0.004338210126385069,0.00019407979154559163
167,Bedadka__Kasaragod,5,27867.22320036868,0.6942548971665441,0.07456481751812441,0.007638620917103813,0.00034129571407330323
168,Beloor__Kasaragod,5,10240.941328275489,0.05243746636266148,0.005631520209687581,0.0005769582666778649,2.577966905330829e-05
169,Chemmanad__Kasaragod,5,54745.60409339484,1.2472107257506253,0.13429365271696642,0.013785627861492991,0.0006165988227398976
170,Chengala__Kasaragod,5,56780.208264110384,0.7074393337953113,0.07614007030791978,0.007807892809200261,0.0003485927038863319
171,Cheruvathur__Kasaragod,5,27429.041181409983,5.326082645504103,0.5715842687615724,0.0585345097774098,0.0026171659783468
172,Delampadi__Kasaragod,5,22772.827771174434,0.15395756569507385,0.01650750767620788,0.0016884024032601365,7.534978867672495e-05
173,East Eleri__Kasaragod,5,25074.5631623267,0.3903975814163113,0.041949032085782385,0.004299098163464861,0.00019196163675051965
174,Enmakaje__Kasaragod,5,26823.830533787812,0.15143298688868423,0.016288828006560507,0.0016698700596806608,7.452723352692371e-05
175,Kallar__Kasaragod,5,19413.604450749815,0.35356694421850776,0.03792785075587222,0.0038811788429091915,0.0001732763701144013
176,Kanjangad(M)__Kasaragod,5,68783.95639651906,3913.038778407499,571.487654025216,88.59327454579287,7.923896502423346
177,Karaduka__Kasaragod,5,21210.65318928878,0.31158261298411233,0.03221660761634146,0.0029061042110415727,0.00010538640994096087
178,Kasaragod(M)__Kasaragod,5,54170.25970371263,1.563593123960663,0.16160377796433434,0.014571177273126587,0.0005282081688931858
179,Kayyur-Chimeni__Kasaragod,5,23491.75876985697,2.912117807170058,0.30097854729396567,0.0271486729515007,0.0009851156156724331
180,Kinanur-Karindalam__Kasaragod,5,27582.36023700113,2.3728389206189253,0.2441886781303702,0.02194163946808585,0.0007937606560440066
181,Kodom-Belur__Kasaragod,5,33203.41320281207,6.820025811962882,0.7014830977997656,0.06300751908279872,0.0022807590730653574
182,Kumbadaje__Kasaragod,5,14771.813593740728,0.1675391283517047,0.01725964357758407,0.0015514318520382865,5.605548993255047e-05
183,Kumbala__Kasaragod,5,46690.27588621391,0.6505982072963369,0.0672323455741204,0.006063308684412549,0.00021992453365631817
184,Kuttikol__Kasaragod,5,24922.402792246907,0.5366773699126199,0.05536699843923503,0.004983091639936285,0.000180293103233634
185,Madhur__Kasaragod,5,41462.20427868214,0.7150988845405933,0.07374539462049971,0.0066368703529531186,0.00024016834124833492
186,Madikai__Kasaragod,5,21990.4143132104,53.49430337300122,5.567849086105022,0.5051465538662052,0.018387776631382045
187,Mangalpady__Kasaragod,5,48440.2814522503,0.6457196893210825,0.06661313990821868,0.005997766250973415,0.00021715421447927974
188,Manjeswaram__Kasaragod,5,41514.47605695579,0.4708263753331517,0.04858272902122385,0.004375457310246852,0.00015848254059831518
189,Meencha__Kasaragod,5,23317.76688658165,0.20958344303521442,0.021529505564575155,0.0019308458757287975,6.962387793674367e-05
190,Mogral-Puthur__Kasaragod,5,24838.606858611125,0.353468409747142,0.03630092558147621,0.003254713423698708,0.00011734012439159624
191,Muliyar__Kasaragod,5,25094.2706547045,0.6554376463567694,0.06760581239137417,0.006081949883171912,0.00021988686666204609
192,Nileswaram(M)__Kasaragod,5,39700.76785364547,46.00668479192423,4.7771722107074535,0.43256424468356697,0.015725107215240623
193,Padanna__Kasaragod,5,22131.15772730597,2.55436019348227,0.2633554277282163,0.02369935551236204,0.0008577173075761989
194,Paivalike__Kasaragod,5,34273.59652886802,0.36266360602375697,0.037331765364310585,0.0033545423978535655,0.00012121818653392369
195,Pallikkara__Kasaragod,5,43249.92166476441,4.563640579350418,0.47079440924745064,0.04236738945491414,0.0015328575342684698
196,Pananthadi__Kasaragod,5,22975.530688711733,0.42193223604436036,0.04335157866034954,0.0038872787213564903,0.0001401948448668461
197,Pilicode__Kasaragod,5,25117.56294791089,3.9884157912497313,0.41044150438799987,0.03686405146015419,0.0013307420117394332
198,Pullur-Periya__Kasaragod,5,29634.70588690303,6.555203431290042,0.6759399201301726,0.06077450679894225,0.002195238749890984
199,Puthige__Kasaragod,5,21822.731926392215,0.24100408858657618,0.024768393676028174,0.002221095416666526,8.003010575871701e-05
200,Thrikkarippur__Kasaragod,5,38681.50760449931,4.936124141413746,0.5088334394618589,0.045781788505709194,0.0016561313038313658
201,Uduma__Kasaragod,5,37534.43132015282,2.308753841589086,0.2377861693315811,0.021368281866758657,0.0007715543973157629
202,Valiyaparampa__Kasaragod,5,12788.824383825311,1.0575509663007934,0.10807376283902892,0.009645289402034867,0.0003461561461384127
203,Vorkady__Kasaragod,5,25755.751003677273,0.22388429231653706,0.022978643144282093,0.0020591891310371064,7.419813687194963e-05
204,West Eleri__Kasaragod,5,29316.0,0.0,0,0,0
205,Ajanur__Kasaragod,6,49108.698812141294,39.283003535428314,4.494731617882426,0.49606077064770043,0.027391934750770116
206,Badiyaduka__Kasaragod,6,34206.30711797017,0.6149984075756112,0.0698130552063209,0.007650400359732439,0.0004201666864315365
207,Balal__Kasaragod,6,23668.8870720633,0.9877624916281416,0.11218739217347404,0.01230194976263269,0.0006761031389217105
208,Bedadka__Kasaragod,6,27866.024863364102,1.7537409223118763,0.19850283344780834,0.021702848763272716,0.0011900313715292824
209,Beloor__Kasaragod,6,10240.850820101157,0.1324581474205968,0.01499270944028236,0.001639155834540063,8.988614312862661e-05
210,Chemmanad__Kasaragod,6,54743.45741753033,3.14444444511052,0.35687706732369817,0.0391126219758315,0.0021483352517946744
211,Chengala__Kasaragod,6,56778.99043267295,1.7837829044655407,0.2023999230053981,0.022168363225317518,0.0012161363493530274
212,Cheruvathur__Kasaragod,6,27419.838876133694,13.463171392691507,1.5224839441100786,0.1663475291100121,0.009121000398059
213,Delampadi__Kasaragod,6,22772.561544517153,0.3893927098368384,0.04399751927998108,0.004802303671472809,0.000262950055705629
214,East Eleri__Kasaragod,6,25073.89003456125,0.9854458305824858,0.11163874195188817,0.01221122700690302,0.0006696392104688375
215,Enmakaje__Kasaragod,6,26823.569735203822,0.3819449735021615,0.043317659782985254,0.004742094543250467,0.00026006835126921935
216,Kallar__Kasaragod,6,19412.993360738576,0.8939435666130393,0.10105566944839933,0.011035506900427058,0.0006045184637709781
217,Kanjangad(M)__Kasaragod,6,63620.2828134157,8294.104605829358,1239.7978789016727,193.0471081790813,17.76759367417811
218,Karaduka__Kasaragod,6,21210.097546474564,0.8049089046036819,0.08808980868989563,0.009026525266416357,0.00042828687783446896
219,Kasaragod(M)__Kasaragod,6,54167.47014042666,4.040437785142295,0.44200164716360013,0.04527291316897939,0.002147227865907251
220,Kayyur-Chimeni__Kasaragod,6,23486.563530497802,7.524933604904693,0.8232063992691842,0.08432786319346042,0.004001634832505844
221,Kinanur-Karindalam__Kasaragod,6,27578.108108207805,6.150399929818374,0.6699187266280813,0.06834141515326146,0.0032317205969424343
222,Kodom-Belur__Kasaragod,6,33191.183050111285,17.686173350356942,1.9251916406323888,0.19630330318910755,0.009281594526709661
223,Kumbadaje__Kasaragod,6,14771.513749731224,0.43387531218389597,0.0473155405324082,0.004830979250661957,0.00022843680682569343
224,Kumbala__Kasaragod,6,46689.11503161427,1.6813331654816972,0.1839055179185637,0.018836076834301902,0.0008936254985910458
225,Kuttikol__Kasaragod,6,24921.443533095287,1.3886010475499662,0.15162907273391202,0.015502814478901481,0.0007339699521154434
226,Madhur__Kasaragod,6,41460.925772497256,1.8505852925181947,0.20201609260451847,0.020648519237836047,0.0009775983804653481
227,Madikai__Kasaragod,6,21895.851840596777,137.35791531202236,15.153139943484263,1.5625889762131866,0.07451517150540485
228,Mangalpady__Kasaragod,6,48439.127448727624,1.6705792741375523,0.18243444979079143,0.01865397576028677,0.0008835726868096592
229,Manjeswaram__Kasaragod,6,41513.63476707989,1.2179509761639926,0.1330314582836094,0.01360584119113086,0.0006446444639590764
230,Meencha__Kasaragod,6,23317.390792826234,0.5437605098439393,0.059140293058703004,0.006022208558007295,0.00028416230857327676
231,Mogral-Puthur__Kasaragod,6,24837.972370070296,0.9172632686251204,0.09973442241460938,0.010153263715138538,0.0004789749492470082
232,Muliyar__Kasaragod,6,25093.098904214334,1.6961006072538667,0.1851721791844532,0.018927340152205423,0.0008956590759033696
233,Nileswaram(M)__Kasaragod,6,39619.170943417186,118.40225806182576,13.02307472695081,1.339935992971328,0.06378780106897028
234,Padanna__Kasaragod,6,22126.590094057756,6.611121402999616,0.7215563808790271,0.07373717933440951,0.003490979031171981
235,Paivalike__Kasaragod,6,34272.946989471355,0.9396702814864888,0.10239813349619986,0.010448168537620841,0.0004939451196287643
236,Pallikkara__Kasaragod,6,43241.76472288599,11.807854341898885,1.289363643268044,0.13181878358719157,0.006240345251481152
237,Pananthadi__Kasaragod,6,22974.77342988008,1.0948046204887993,0.11906771013715171,0.0121256745954979,0.000572114702795345
238,Pilicode__Kasaragod,6,25110.419412428597,10.334268115291986,1.1260363617603462,0.11485634661995925,0.0054267477295343435
239,Pullur-Periya__Kasaragod,6,29622.985857841428,16.964191806632773,1.8517926223621464,0.18920976784731652,0.008947961727551235
240,Puthige__Kasaragod,6,21822.299633325216,0.6250963378666965,0.06801553265813777,0.006927985772242547,0.000326818485388331
