,name,day,S,E,I,H,R
0,Amboori,1,15919.999954846531,4.515346955876941e-05,0.0,0.0,0.0
1,Anad,1,31686.999750272305,0.00024972769553863725,0.0,0.0,0.0
2,Anchuthengu,1,17395.99995527063,4.472937127288035e-05,0.0,0.0,0.0
3,Andoorkonam,1,30780.999676761134,0.0003232388669950365,0.0,0.0,0.0
4,Aruvikkara,1,33395.9994470081,0.0005529918966076795,0.0,0.0,0.0
5,Aryanad,1,26360.999874978526,0.00012502147452749356,0.0,0.0,0.0
6,Aryancodu,1,24327.99989950145,0.00010049854968586108,0.0,0.0,0.0
7,Athiyannoor,1,26972.999846820185,0.00015317981654131035,0.0,0.0,0.0
8,Attingal(M),1,37435.99987421902,0.00012578098138641368,0.0,0.0,0.0
9,Azhoor,1,27389.999861458826,0.00013854117484040173,0.0,0.0,0.0
10,Balaramapuram,1,36133.999707611605,0.00029238839131268433,0.0,0.0,0.0
11,Chemmaruthi,1,32443.99992776801,7.223198947494182e-05,0.0,0.0,0.0
12,Chenkal,1,36543.99987177904,0.00012822096350599918,0.0,0.0,0.0
13,Cherunniyoor,1,18113.9999590898,4.091020109328628e-05,0.0,0.0,0.0
14,Chirayinkeezhu,1,29906.99988819156,0.00011180843973231637,0.0,0.0,0.0
15,Edava,1,25993.999947913177,5.208682181169199e-05,0.0,0.0,0.0
16,Elakamon,1,25306.99994873033,5.1269672129259706e-05,0.0,0.0,0.0
17,Kadakkavoor,1,23154.99992870467,7.129532965731567e-05,0.0,0.0,0.0
18,Kadinamkulam,1,46475.99952331127,0.0004766887266859512,0.0,0.0,0.0
19,Kallara,1,25843.99990879844,9.120156058902261e-05,0.0,0.0,0.0
20,Kallikkad,1,13552.999969057022,3.094297786627374e-05,0.0,0.0,0.0
21,Kalliyoor,1,40815.999355632914,0.000644367086459453,0.0,0.0,0.0
22,Kanjiramkulam,1,18820.999913281637,8.67183624490711e-05,0.0,0.0,0.0
23,Karakulam,1,52416.998748450125,0.001251549872106952,0.0,0.0,0.0
24,Karavaram,1,30659.99991973927,8.026072813432522e-05,0.0,0.0,0.0
25,Karode,1,32089.999910530696,8.946930299736067e-05,0.0,0.0,0.0
26,Karumkulam,1,28289.99988893582,0.00011106417786607031,0.0,0.0,0.0
27,Kattakada,1,40447.999719953106,0.0002800468941332737,0.0,0.0,0.0
