,iName,jName,Tij
0,P1,P1,2940.0
1,P1,P2,46.38926174496644
2,P1,P3,11.59731543624161
3,P1,P4,1.2885906040268456
4,P1,P5,0.7248322147651006
5,P2,P1,53.88773388773388
6,P2,P2,1920.0
7,P2,P3,23.950103950103948
8,P2,P4,1.4968814968814967
9,P2,P5,0.6652806652806652
10,P3,P1,24.0
11,P3,P2,42.666666666666664
12,P3,P3,1920.0
13,P3,P4,10.666666666666666
14,P3,P5,2.6666666666666665
15,P4,P1,12.85714285714286
16,P4,P2,12.85714285714286
17,P4,P3,51.42857142857144
18,P4,P4,910.0
19,P4,P5,12.85714285714286
20,P5,P1,16.836027713625864
21,P5,P2,13.302540415704387
22,P5,P3,29.93071593533487
23,P5,P4,29.93071593533487
24,P5,P5,910.0
