,iName,jName,Cij
0,Amboori__Thiruvananthapuram,Amboori__Thiruvananthapuram,0.8243337434144152
1,Amboori__Thiruvananthapuram,Anad__Thiruvananthapuram,3.6216378860903526e-05
2,Amboori__Thiruvananthapuram,Anchuthengu__Thiruvananthapuram,2.2458207804914127e-06
3,Amboori__Thiruvananthapuram,Andoorkonam__Thiruvananthapuram,5.9769950007235374e-06
4,Amboori__Thiruvananthapuram,Aruvikkara__Thiruvananthapuram,8.160228924441955e-05
5,Amboori__Thiruvananthapuram,Aryanad__Thiruvananthapuram,0.0007252974891079407
6,Amboori__Thiruvananthapuram,Aryancodu__Thiruvananthapuram,0.005779631145982625
7,Amboori__Thiruvananthapuram,Athiyannoor__Thiruvananthapuram,7.775090620767355e-05
8,Amboori__Thiruvananthapuram,Attingal(M)__Thiruvananthapuram,1.5654509697659153e-05
9,Amboori__Thiruvananthapuram,Azhoor__Thiruvananthapuram,4.786646995958778e-06
10,Amboori__Thiruvananthapuram,Balaramapuram__Thiruvananthapuram,0.00013554113126548693
11,Amboori__Thiruvananthapuram,Chemmaruthi__Thiruvananthapuram,6.086696593084376e-06
12,Amboori__Thiruvananthapuram,Chenkal__Thiruvananthapuram,0.00029741970348382425
13,Amboori__Thiruvananthapuram,Cherunniyoor__Thiruvananthapuram,2.3642890345790696e-06
14,Amboori__Thiruvananthapuram,Chirayinkeezhu__Thiruvananthapuram,5.448118853150861e-06
15,Amboori__Thiruvananthapuram,Edava__Thiruvananthapuram,4.2794741798656735e-06
16,Amboori__Thiruvananthapuram,Elakamon__Thiruvananthapuram,4.03482441396329e-06
17,Amboori__Thiruvananthapuram,Kadakkavoor__Thiruvananthapuram,3.594453942993119e-06
18,Amboori__Thiruvananthapuram,Kadinamkulam__Thiruvananthapuram,1.1905039337643156e-05
19,Amboori__Thiruvananthapuram,Kallara__Thiruvananthapuram,5.095806439278009e-06
20,Amboori__Thiruvananthapuram,Kallikkad__Thiruvananthapuram,0.08504126886878474
