,name,day,S,E,I,R
5852,Amboori__Thiruvananthapuram,77,4970.306695973283,1175.3423467777432,2850.6543868966564,6925.696570352322
7643,Kallikkad__Thiruvananthapuram,100,4244.219871120026,1063.4608031548996,2524.478327687926,5720.8409980371625
8132,Ottasekharamangalam__Thiruvananthapuram,106,6209.833038773335,1378.3677597846433,3261.407462180036,7944.391739261986
8232,Vellarada__Thiruvananthapuram,107,12408.201448618744,3119.7236496691753,7452.84296979463,17225.231931917493
8476,Aryancodu__Thiruvananthapuram,111,7678.263722383755,1799.1289460942335,4322.991164105848,10527.616167416167
8811,Kunnathukal__Thiruvananthapuram,115,11576.701050357924,3028.1182825979035,7409.40622924515,17399.77443779905
8959,Kattakada__Thiruvananthapuram,117,12823.12203245355,3130.1850065249014,7386.23546865854,17108.45749236304
8988,Perumkadavila__Thiruvananthapuram,117,7354.286676767341,1811.266594455676,4294.836603110722,9924.610125666284
8989,Poovachal__Thiruvananthapuram,117,13030.195226910742,3390.912712617622,8193.91959481025,18994.972465661394
9091,Aryanad__Thiruvananthapuram,119,7689.523904288123,2051.127560683652,5002.253363955897,11618.095171072351
9116,Kollayil__Thiruvananthapuram,119,7512.1369972770935,1903.7554523841616,4644.783514479841,11016.324035858901
9125,Maranalloor__Thiruvananthapuram,119,11406.415360092828,2955.2140315110933,6970.743134392183,15499.62747400386
9132,Neyyattinkara(M)__Thiruvananthapuram,119,22533.91952451635,5593.94065233648,13120.643139804948,29601.496683342222
9139,Parassala__Thiruvananthapuram,119,16133.072881954893,4091.7164275166424,9743.193798152723,22295.01689237572
9252,Chenkal__Thiruvananthapuram,121,11053.988633597059,2829.8579004425014,6842.664984744911,15817.488481215538
9324,Athiyannoor__Thiruvananthapuram,122,8237.827447853373,2113.4191753066925,5075.219994654394,11546.533382185527
9327,Balaramapuram__Thiruvananthapuram,122,10916.23436920553,2810.44027595102,6790.433239213105,15616.892115630319
9342,Karode__Thiruvananthapuram,122,9478.584738101157,2465.986359559446,6040.981352185855,14104.447550153534
9349,Kulathoor__Thiruvananthapuram,122,10315.521999729173,2626.4959740153745,6150.117799921628,13476.864226333824
9352,Malayinkeezhu__Thiruvananthapuram,122,11274.914564863033,2884.967364191252,6942.796049752486,15965.322021193242
9379,Thirupuram__Thiruvananthapuram,122,6026.922936865188,1522.2930081844816,3556.287971056279,7792.496083894033
9382,Uzhamalakkal__Thiruvananthapuram,122,6652.411526279981,1698.112545989336,4025.694028797415,9095.78189893328
9386,Vellanad__Thiruvananthapuram,122,9428.419251560763,2417.2742783266553,5825.644341244688,13484.662128867914
9391,Vilappil__Thiruvananthapuram,122,11393.246512152598,2892.3696993189737,6798.873697612529,15127.510090915857
9393,Vithura__Thiruvananthapuram,122,7628.656613532589,2112.3332481895395,5103.4065148014715,11404.603623476403
9416,Kanjiramkulam__Thiruvananthapuram,123,5913.146469967933,1509.0449053112288,3557.2734037215805,7841.535220999256
9420,Karumkulam__Thiruvananthapuram,123,8755.212426054997,2262.872142099015,5367.694001574328,11904.221430271666
9425,Kottukal__Thiruvananthapuram,123,10138.2339004379,2633.103379156257,6317.48609338246,14247.176627023402
9443,Pallichal__Thiruvananthapuram,123,13525.583114679237,3506.866100762082,8521.65946546654,19664.891319092145
9452,Poovar__Thiruvananthapuram,123,6098.961261333891,1560.1020340057726,3707.486897368372,8261.449807291965
9457,Thiruvananthapuram(C)__Thiruvananthapuram,123,282503.2216763029,75713.14920461792,184432.61328037485,424207.0158387041
9458,Tholikkodu__Thiruvananthapuram,123,7677.540253290961,2057.0385496581625,4866.746514215654,10672.674682835222
9466,Venganoor__Thiruvananthapuram,123,11334.115550969102,2916.839428667395,6830.414863900769,14881.630156462763
9469,Vilavoorkal__Thiruvananthapuram,123,9891.31439967478,2532.2754227695223,5996.600931349207,13340.80924620649
9475,Aruvikkara__Thiruvananthapuram,124,9846.725023487395,2576.862321433321,6310.826514510541,14661.586140568734
9492,Kalliyoor__Thiruvananthapuram,124,12114.104159860563,3178.123595970776,7749.887240001126,17773.885004167536
9515,Nedumangad(M)__Thiruvananthapuram,124,18739.644225920976,4827.851524499363,11386.170517889788,25207.333731689865
9549,Anad__Thiruvananthapuram,125,9692.632957326441,2528.8799639624463,6030.9386453643365,13434.548433346781
9571,Karakulam__Thiruvananthapuram,125,15654.893319676114,4115.163442883357,9997.230309343791,22649.712928096724
9667,Nanniyodu__Thiruvananthapuram,126,7988.428749748384,2175.6357762816997,5220.557461707423,11545.37801226249
9676,Panavoor__Thiruvananthapuram,126,6013.876170967131,1588.6093220463106,3872.0080475999516,8873.5064593866
9680,Peringammala__Thiruvananthapuram,126,8372.040011857976,2309.3775830840846,5421.909225989678,11563.673179068293
9705,Andoorkonam__Thiruvananthapuram,127,9719.319673022948,2511.0825074475138,5883.196879124014,12667.400940405518
9720,Kadinamkulam__Thiruvananthapuram,127,14135.38627489273,3726.170142670518,8918.876930419408,19695.566652017358
9761,Pothencodu__Thiruvananthapuram,127,9311.533009158806,2403.3661810996964,5609.724387527581,12045.376422213927
9773,Vembayam__Thiruvananthapuram,127,11414.574896032977,3112.1833953062524,7508.105586616364,16595.136122044416
9798,Kallara__Thiruvananthapuram,128,7961.1094805513,2142.417518445919,5020.366490356746,10720.106510646017
9816,Mangalapuram__Thiruvananthapuram,128,11741.417088226763,3022.7250414549744,7053.627003111759,15138.230867206523
9817,Manikkal__Thiruvananthapuram,128,11466.978817350355,3099.389223528791,7365.768440492223,15973.863518628626
9824,Nellanadu__Thiruvananthapuram,128,8048.036268288553,2093.7593048697995,4957.852454865197,10881.35197197647
9831,Pangod__Thiruvananthapuram,128,8345.755920208332,2308.959283821533,5647.2583161567245,12737.026479813405
9840,Pullampara__Thiruvananthapuram,128,6466.486504688123,1760.852241600236,4236.339797123481,9353.321456588144
9865,Azhoor__Thiruvananthapuram,129,8635.955176629699,2226.664521347947,5225.962911535322,11301.417390487031
9910,Pazhayakunnummel__Thiruvananthapuram,129,7579.488314509512,1978.3362452993865,4695.362844962097,10354.812595229001
9923,Vamanpuram__Thiruvananthapuram,129,6228.50299622577,1644.4429622275597,4011.2361092894976,9153.817932257176
9941,Attingal(M)__Thiruvananthapuram,130,12078.025904465452,3005.5720938330087,7023.301476309043,15329.100525392538
9947,Chirayinkeezhu__Thiruvananthapuram,130,9325.071771491395,2416.018335515776,5708.503898030881,12457.40599496194
9961,Kilimanoor__Thiruvananthapuram,130,6300.529957234636,1642.1053839870995,3912.9401813525537,8659.424477425702
9962,Kizhuvilam__Thiruvananthapuram,130,10454.191068788674,2678.3775607388816,6265.0307703033195,13503.400600169158
9967,Madavoor__Thiruvananthapuram,130,6562.055131997807,1706.3677482845762,4026.0696406692055,8796.507479048414
9973,Mudakkal__Thiruvananthapuram,130,11132.501469608553,2992.3540775745337,7079.02817028062,15263.116282536292
9983,Pallikkal__Thiruvananthapuram,130,5206.023486130234,1362.2867855844297,3230.3778756407833,7101.311852644546
9993,Pulimathu__Thiruvananthapuram,130,9811.528625921032,2644.039225275845,6269.530009814874,13567.90213898827
10027,Kadakkavoor__Thiruvananthapuram,131,7383.349195063443,1887.2355135940807,4406.940451636129,9477.474839706347
10034,Karavaram__Thiruvananthapuram,131,9402.852335610281,2445.4820398881384,5845.417183767171,12966.248440734407
10051,Nagaroor__Thiruvananthapuram,131,7870.920963937454,2069.381482737529,5050.809900976295,11520.887652348709
10089,Anchuthengu__Thiruvananthapuram,132,5405.594634509631,1396.791220643659,3315.6139140789405,7278.000230767773
10098,Chemmaruthi__Thiruvananthapuram,132,10101.58104724738,2617.74547017851,6193.227039931104,13531.446442642997
10100,Cherunniyoor__Thiruvananthapuram,132,5742.014537027111,1471.3337346873598,3449.2982264320794,7451.353501853438
10102,Edava__Thiruvananthapuram,132,7878.274835787101,2073.3471150052746,4976.121392051213,11066.25665715641
10103,Elakamon__Thiruvananthapuram,132,7717.6097367005,2022.9698273625372,4840.061188895201,10726.359247041759
10123,Manampoor__Thiruvananthapuram,132,7044.535383704875,1833.1959763804457,4419.092694333106,9901.175945581572
10130,Navayikkulam__Thiruvananthapuram,132,12363.640534332433,3341.24580329175,7919.35317966343,17077.76048271239
10135,Ottoor__Thiruvananthapuram,132,4994.721608290892,1290.8412540357863,3065.4519912559317,6733.985146417389
10153,Vakkam__Thiruvananthapuram,132,5236.900107723936,1337.948509364292,3144.3144300991707,6813.836952812581
10155,Varkala(M)__Thiruvananthapuram,132,12326.141134774634,3140.5242542744786,7548.039973144723,17033.29463780614
10160,Vettoor__Thiruvananthapuram,132,5834.476657153403,1508.7730264737288,3567.825048420517,7792.925267952342
