,name,day,S,E,I,R
0,Amboori__Thiruvananthapuram,1,15919.253805476304,0.7461945236959495,1.7142857142857144,0.2857142857142857
1,Anad__Thiruvananthapuram,1,31686.999810610818,0.00018938918056458676,0.0,0.0
2,Anchuthengu__Thiruvananthapuram,1,17395.999972700607,2.7299394636855828e-05,0.0,0.0
3,Andoorkonam__Thiruvananthapuram,1,30780.999911224262,8.877573748177418e-05,0.0,0.0
4,Aruvikkara__Thiruvananthapuram,1,33395.99972373177,0.00027626822715841494,0.0,0.0
5,Aryanad__Thiruvananthapuram,1,26360.99951473,0.00048527000071487726,0.0,0.0
6,Aryancodu__Thiruvananthapuram,1,24327.997856362144,0.0021436378562853307,0.0,0.0
7,Athiyannoor__Thiruvananthapuram,1,26972.999730394586,0.0002696054126295001,0.0,0.0
8,Attingal(M)__Thiruvananthapuram,1,37435.99988907186,0.00011092813780150653,0.0,0.0
9,Azhoor__Thiruvananthapuram,1,27389.99993634622,6.365378073282599e-05,0.0,0.0
10,Balaramapuram__Thiruvananthapuram,1,36133.99960268625,0.00039731375019499114,0.0,0.0
11,Chemmaruthi__Thiruvananthapuram,1,32443.99994790438,5.2095619201885324e-05,0.0,0.0
12,Chenkal__Thiruvananthapuram,1,36543.99951556276,0.00048443723693100525,0.0,0.0
13,Cherunniyoor__Thiruvananthapuram,1,18113.99997263337,2.7366629222793923e-05,0.0,0.0
14,Chirayinkeezhu__Thiruvananthapuram,1,29906.99993723316,6.276684190740271e-05,0.0,0.0
15,Edava__Thiruvananthapuram,1,25993.99995638141,4.361859012678764e-05,0.0,0.0
16,Elakamon__Thiruvananthapuram,1,25306.999956692136,4.330786297291799e-05,0.0,0.0
17,Kadakkavoor__Thiruvananthapuram,1,23154.999960071753,3.992824561895813e-05,0.0,0.0
18,Kadinamkulam__Thiruvananthapuram,1,46475.99986115223,0.00013884777191581677,0.0,0.0
19,Kallara__Thiruvananthapuram,1,25843.999926543504,7.345649486936328e-05,0.0,0.0
20,Kallikkad__Thiruvananthapuram,1,13552.99681352696,0.0031864730410048224,0.0,0.0
21,Kalliyoor__Thiruvananthapuram,1,40815.999722331806,0.0002776681948267869,0.0,0.0
22,Kanjiramkulam__Thiruvananthapuram,1,18820.999859207826,0.00014079217306991852,0.0,0.0
23,Karakulam__Thiruvananthapuram,1,52416.99974845071,0.0002515492924240085,0.0,0.0
24,Karavaram__Thiruvananthapuram,1,30659.999937777742,6.222225716159558e-05,0.0,0.0
25,Karode__Thiruvananthapuram,1,32089.99964484863,0.00035515137013094066,0.0,0.0
26,Karumkulam__Thiruvananthapuram,1,28289.999784271826,0.00021572817569230445,0.0,0.0
27,Kattakada__Thiruvananthapuram,1,40447.99870590141,0.0012940985930475432,0.0,0.0
28,Kilimanoor__Thiruvananthapuram,1,20514.99994713165,5.2868347459562684e-05,0.0,0.0
29,Kizhuvilam__Thiruvananthapuram,1,32900.999933879095,6.612090753860687e-05,0.0,0.0
30,Kollayil__Thiruvananthapuram,1,25076.999465353336,0.0005346466656490838,0.0,0.0
31,Kottukal__Thiruvananthapuram,1,33335.999728762465,0.00027123753894649336,0.0,0.0
32,Kulathoor__Thiruvananthapuram,1,32568.99970950907,0.0002904909299190789,0.0,0.0
33,Kunnathukal__Thiruvananthapuram,1,39413.998770350816,0.001229649186814448,0.0,0.0
34,Madavoor__Thiruvananthapuram,1,21090.99994662734,5.337266050288264e-05,0.0,0.0
35,Malayinkeezhu__Thiruvananthapuram,1,37067.9995500618,0.00044993819958143427,0.0,0.0
36,Manampoor__Thiruvananthapuram,1,23197.999960925878,3.9074122800972006e-05,0.0,0.0
37,Mangalapuram__Thiruvananthapuram,1,36955.99990151266,9.848734126109114e-05,0.0,0.0
38,Manikkal__Thiruvananthapuram,1,37905.99990270907,9.729093602323318e-05,0.0,0.0
39,Maranalloor__Thiruvananthapuram,1,36831.999451207994,0.0005487920087662125,0.0,0.0
40,Mudakkal__Thiruvananthapuram,1,36466.9999334824,6.651759474737877e-05,0.0,0.0
41,Nagaroor__Thiruvananthapuram,1,26511.999939827143,6.0172858748633495e-05,0.0,0.0
42,Nanniyodu__Thiruvananthapuram,1,26929.999875956826,0.0001240431740326354,0.0,0.0
43,Navayikkulam__Thiruvananthapuram,1,40701.999945615345,5.4384653400043855e-05,0.0,0.0
44,Nedumangad(M)__Thiruvananthapuram,1,60160.99952821529,0.0004717847112283576,0.0,0.0
45,Nellanadu__Thiruvananthapuram,1,25980.999913109605,8.689039575570664e-05,0.0,0.0
46,Neyyattinkara(M)__Thiruvananthapuram,1,70849.99860279614,0.0013972038532546168,0.0,0.0
47,Ottasekharamangalam__Thiruvananthapuram,1,18793.996475450822,0.0035245491763432075,0.0,0.0
