iName,1.0,2.0,3.0,4.0,5.0,6.0
Amboori__Thiruvananthapuram,Amboori__Thiruvananthapuram (15283.2),Thiruvananthapuram(C)__Thiruvananthapuram (205.5013295370507),Vellarada__Thiruvananthapuram (57.49628311234714),Ottasekharamangalam__Thiruvananthapuram (39.068406829696436),Kallikkad__Thiruvananthapuram (36.20088056651718),Neyyattinkara(M)__Thiruvananthapuram (32.293432048580534)
Anad__Thiruvananthapuram,Anad__Thiruvananthapuram (28835.17),Nedumangad(M)__Thiruvananthapuram (999.1464262385082),Thiruvananthapuram(C)__Thiruvananthapuram (971.4548960425647),Panavoor__Thiruvananthapuram (108.34633151483082),Karakulam__Thiruvananthapuram (65.20213581019499),Vembayam__Thiruvananthapuram (60.707910091545294)
Anchuthengu__Thiruvananthapuram,Anchuthengu__Thiruvananthapuram (15830.36),Vakkam__Thiruvananthapuram (513.0237670056248),Thiruvananthapuram(C)__Thiruvananthapuram (206.97422811182088),Varkala(M)__Thiruvananthapuram (87.7791680447747),Kadakkavoor__Thiruvananthapuram (86.5954927629454),Vettoor__Thiruvananthapuram (84.25253962719202)
Andoorkonam__Thiruvananthapuram,Andoorkonam__Thiruvananthapuram (28010.71),Thiruvananthapuram(C)__Thiruvananthapuram (1353.7838173093512),Kadinamkulam__Thiruvananthapuram (376.35300370758205),Mangalapuram__Thiruvananthapuram (193.1357705705056),Pothencodu__Thiruvananthapuram (164.73984273434118),Azhoor__Thiruvananthapuram (56.18832448353539)
Aruvikkara__Thiruvananthapuram,Aruvikkara__Thiruvananthapuram (30390.36),Thiruvananthapuram(C)__Thiruvananthapuram (1808.3785569417043),Nedumangad(M)__Thiruvananthapuram (300.0044272795019),Vellanad__Thiruvananthapuram (136.4329379899573),Karakulam__Thiruvananthapuram (120.10467674096334),Vilappil__Thiruvananthapuram (100.26477327297015)
Aryanad__Thiruvananthapuram,Aryanad__Thiruvananthapuram (25306.56),Thiruvananthapuram(C)__Thiruvananthapuram (457.3276536095158),Nedumangad(M)__Thiruvananthapuram (57.91037490847781),Uzhamalakkal__Thiruvananthapuram (48.61894069034414),Poovachal__Thiruvananthapuram (46.17589390062468),Vellanad__Thiruvananthapuram (44.63067416268942)
Aryancodu__Thiruvananthapuram,Aryancodu__Thiruvananthapuram (22138.48),Thiruvananthapuram(C)__Thiruvananthapuram (608.6822274821094),Neyyattinkara(M)__Thiruvananthapuram (221.8319688146972),Ottasekharamangalam__Thiruvananthapuram (168.23095511936103),Kunnathukal__Thiruvananthapuram (125.49425833853758),Vellarada__Thiruvananthapuram (125.4843785992163)
Athiyannoor__Thiruvananthapuram,Athiyannoor__Thiruvananthapuram (24545.43),Neyyattinkara(M)__Thiruvananthapuram (650.4577755291526),Thiruvananthapuram(C)__Thiruvananthapuram (542.7164891454746),Balaramapuram__Thiruvananthapuram (172.21280947846276),Kottukal__Thiruvananthapuram (164.17831281928625),Thirupuram__Thiruvananthapuram (112.94135557051334)
Attingal(M)__Thiruvananthapuram,Attingal(M)__Thiruvananthapuram (34066.76),Thiruvananthapuram(C)__Thiruvananthapuram (691.5564989970292),Kizhuvilam__Thiruvananthapuram (377.66725354920897),Mudakkal__Thiruvananthapuram (244.38301336638554),Kadakkavoor__Thiruvananthapuram (243.66027103070067),Karavaram__Thiruvananthapuram (198.07935063915446)
Azhoor__Thiruvananthapuram,Azhoor__Thiruvananthapuram (24924.9),Thiruvananthapuram(C)__Thiruvananthapuram (699.1109227592965),Mangalapuram__Thiruvananthapuram (285.2518508410218),Kizhuvilam__Thiruvananthapuram (282.86415716883283),Chirayinkeezhu__Thiruvananthapuram (211.0028545659496),Attingal(M)__Thiruvananthapuram (155.66315732023855)
Balaramapuram__Thiruvananthapuram,Balaramapuram__Thiruvananthapuram (32881.94),Thiruvananthapuram(C)__Thiruvananthapuram (1053.4509324686805),Neyyattinkara(M)__Thiruvananthapuram (659.8309761393489),Pallichal__Thiruvananthapuram (253.19220618890944),Athiyannoor__Thiruvananthapuram (168.25657062221956),Venganoor__Thiruvananthapuram (115.3434288877154)
Chemmaruthi__Thiruvananthapuram,Chemmaruthi__Thiruvananthapuram (29524.04),Varkala(M)__Thiruvananthapuram (726.2092625434339),Thiruvananthapuram(C)__Thiruvananthapuram (348.6038935170772),Elakamon__Thiruvananthapuram (245.66780169272093),Navayikkulam__Thiruvananthapuram (222.3385261703577),Ottoor__Thiruvananthapuram (174.352998424006)
Chenkal__Thiruvananthapuram,Chenkal__Thiruvananthapuram (33255.04),Thiruvananthapuram(C)__Thiruvananthapuram (635.9993623297362),Neyyattinkara(M)__Thiruvananthapuram (564.6319128707559),Parassala__Thiruvananthapuram (290.4436245026205),Karode__Thiruvananthapuram (224.6925081486125),Kollayil__Thiruvananthapuram (205.6856919941593)
Cherunniyoor__Thiruvananthapuram,Cherunniyoor__Thiruvananthapuram (16483.739999999998),Varkala(M)__Thiruvananthapuram (260.1565990140762),Thiruvananthapuram(C)__Thiruvananthapuram (185.81434968436133),Vettoor__Thiruvananthapuram (182.89173989896895),Manampoor__Thiruvananthapuram (140.62311930960422),Chemmaruthi__Thiruvananthapuram (121.8311825089995)
Chirayinkeezhu__Thiruvananthapuram,Chirayinkeezhu__Thiruvananthapuram (27215.370000000003),Thiruvananthapuram(C)__Thiruvananthapuram (609.5549942926906),Kizhuvilam__Thiruvananthapuram (393.57975816997265),Attingal(M)__Thiruvananthapuram (237.23101271993502),Azhoor__Thiruvananthapuram (235.53061211666517),Kadakkavoor__Thiruvananthapuram (175.78766266055231)
Edava__Thiruvananthapuram,Edava__Thiruvananthapuram (23654.54),Varkala(M)__Thiruvananthapuram (917.7511056306307),Thiruvananthapuram(C)__Thiruvananthapuram (313.13844956639406),Elakamon__Thiruvananthapuram (279.00465024509316),Chemmaruthi__Thiruvananthapuram (139.9296390732251),Navayikkulam__Thiruvananthapuram (59.09221010753152)
