,Name,area
0,Karumkulam__Thiruvananthapuram,4713572.446726623
1,Kanjiramkulam__Thiruvananthapuram,9359872.300672213
2,Athiyannoor__Thiruvananthapuram,12201140.284732632
3,Venganoor__Thiruvananthapuram,14763862.750540905
4,Madavoor__Thiruvananthapuram,18349515.98535374
5,Karavaram__Thiruvananthapuram,22296511.66989693
6,Nagaroor__Thiruvananthapuram,23480549.84506562
7,Navayikkulam__Thiruvananthapuram,28742548.385654323
8,Pulimathu__Thiruvananthapuram,26752950.83079281
9,Kilimanoor__Thiruvananthapuram,19363658.270041533
10,Pallikkal__Thiruvananthapuram,16565427.891592493
11,Pazhayakunnummel__Thiruvananthapuram,24800819.651294034
12,Kattakada__Thiruvananthapuram,22603269.713667292
13,Poovachal__Thiruvananthapuram,30396753.41726574
14,Aryanad__Thiruvananthapuram,39246581.357014
15,Vellanad__Thiruvananthapuram,23344699.25110715
16,Uzhamalakkal__Thiruvananthapuram,18536291.913237136
17,Tholikkodu__Thiruvananthapuram,25030753.395187248
18,Balaramapuram__Thiruvananthapuram,10619099.409927418
19,Pallichal__Thiruvananthapuram,18597254.918983407
20,Malayinkeezhu__Thiruvananthapuram,16040213.667925006
21,Maranalloor__Thiruvananthapuram,25100519.609598257
22,Kalliyoor__Thiruvananthapuram,17224088.684460636
23,Vilappil__Thiruvananthapuram,20983442.00979573
24,Vilavoorkal__Thiruvananthapuram,10439808.012402529
25,Karode__Thiruvananthapuram,14067665.708376462
26,Parassala__Thiruvananthapuram,20194372.747043647
27,Poovar__Thiruvananthapuram,9387955.17812612
28,Chenkal__Thiruvananthapuram,19773457.01353605
29,Thirupuram__Thiruvananthapuram,6569213.566634444
30,Kulathoor__Thiruvananthapuram,13213235.962373327
31,Kollayil__Thiruvananthapuram,13445856.697261374
32,Kunnathukal__Thiruvananthapuram,25133413.293650407
33,Perumkadavila__Thiruvananthapuram,18051450.129541416
34,Aryancodu__Thiruvananthapuram,21641547.248633295
35,Ottasekharamangalam__Thiruvananthapuram,17687661.832006827
36,Kallikkad__Thiruvananthapuram,82290628.37359555
37,Chirayinkeezhu__Thiruvananthapuram,11507799.521350006
38,Anchuthengu__Thiruvananthapuram,4131620.3290242427
39,Vakkam__Thiruvananthapuram,5024063.196371232
40,Mudakkal__Thiruvananthapuram,25780162.327495746
41,Manampoor__Thiruvananthapuram,14862164.218380878
42,Vettoor__Thiruvananthapuram,6929396.264625168
43,Varkala(M)__Thiruvananthapuram,15589879.767821793
44,Cherunniyoor__Thiruvananthapuram,9956552.530127766
45,Ottoor__Thiruvananthapuram,9532578.487524638
46,Edava__Thiruvananthapuram,9354853.960547578
47,Chemmaruthi__Thiruvananthapuram,17488563.596380904
48,Elakamon__Thiruvananthapuram,17374814.02031889
49,Aruvikkara__Thiruvananthapuram,21263205.99258773
50,Anad__Thiruvananthapuram,23870759.456279956
51,Panavoor__Thiruvananthapuram,21942856.716991317
52,Vembayam__Thiruvananthapuram,30770514.67315287
53,Nedumangad(M)__Thiruvananthapuram,32415198.938917987
54,Peringammala__Thiruvananthapuram,228888722.42486173
55,Nanniyodu__Thiruvananthapuram,38720196.197245575
56,Manikkal__Thiruvananthapuram,33316768.10608117
57,Nellanadu__Thiruvananthapuram,18446806.859557077
58,Pangod__Thiruvananthapuram,37050410.78638135
59,Kallara__Thiruvananthapuram,26143440.479098137
60,Kadinamkulam__Thiruvananthapuram,19911493.877828456
61,Pothencodu__Thiruvananthapuram,19414386.276363887
62,Mangalapuram__Thiruvananthapuram,22643707.017191667
63,Kottukal__Thiruvananthapuram,14818128.029200232
64,Vellarada__Thiruvananthapuram,34522511.22736981
65,Kadakkavoor__Thiruvananthapuram,10814644.798189797
66,Kizhuvilam__Thiruvananthapuram,13965821.193756374
67,Karakulam__Thiruvananthapuram,24268226.62854
68,Pullampara__Thiruvananthapuram,27659754.062465504
69,Vamanpuram__Thiruvananthapuram,21568327.09269978
70,Azhoor__Thiruvananthapuram,12820945.609852357
71,Neyyattinkara(M)__Thiruvananthapuram,28695204.854158774
72,Vithura__Thiruvananthapuram,123657186.52562909
73,Attingal(M)__Thiruvananthapuram,17647829.14555208
74,Andoorkonam__Thiruvananthapuram,14115811.936872646
75,Thiruvananthapuram(C)__Thiruvananthapuram,213182504.5383867
76,Amboori__Thiruvananthapuram,29207705.03952633
77,Kummil__Kollam,18223322.683898013
78,Poothakulam__Kollam,16429159.179135412
79,Nilamel__Kollam,14103520.329399655
80,Paravoor(M)__Kollam,19883922.17804737
81,Chirakkara__Kollam,13151949.943431895
82,Chithara__Kollam,58191092.64388168
83,Kadakkal__Kollam,31048767.880082447
84,Kalluvathukkal__Kollam,36994203.122732975
85,Mayyanad__Kollam,18850279.17891603
86,Chathanoor__Kollam,16378896.476002606
87,Chadayamangalam__Kollam,28455540.626149215
88,Adichanalloor__Kollam,24267597.87998879
