LSG Name, Population
Karumkulam__Thiruvananthapuram,28290
Kanjiramkulam__Thiruvananthapuram,18821
Athiyannoor__Thiruvananthapuram,26973
Venganoor__Thiruvananthapuram,35963
Madavoor__Thiruvananthapuram,21091
Karavaram__Thiruvananthapuram,30660
Nagaroor__Thiruvananthapuram,26512
Navayikkulam__Thiruvananthapuram,40702
Pulimathu__Thiruvananthapuram,32293
Kilimanoor__Thiruvananthapuram,20515
Pallikkal__Thiruvananthapuram,16900
Pazhayakunnummel__Thiruvananthapuram,24608
Kattakada__Thiruvananthapuram,40448
Poovachal__Thiruvananthapuram,43610
Aryanad__Thiruvananthapuram,26361
Vellanad__Thiruvananthapuram,31156
Uzhamalakkal__Thiruvananthapuram,21472
Tholikkodu__Thiruvananthapuram,25274
Balaramapuram__Thiruvananthapuram,36134
Pallichal__Thiruvananthapuram,45219
Malayinkeezhu__Thiruvananthapuram,37068
Maranalloor__Thiruvananthapuram,36832
Kalliyoor__Thiruvananthapuram,40816
Vilappil__Thiruvananthapuram,36212
Vilavoorkal__Thiruvananthapuram,31761
Karode__Thiruvananthapuram,32090
Parassala__Thiruvananthapuram,52263
Poovar__Thiruvananthapuram,19628
Chenkal__Thiruvananthapuram,36544
Thirupuram__Thiruvananthapuram,18898
Kulathoor__Thiruvananthapuram,32569
Kollayil__Thiruvananthapuram,25077
Kunnathukal__Thiruvananthapuram,39414
Perumkadavila__Thiruvananthapuram,23385
Aryancodu__Thiruvananthapuram,24328
Ottasekharamangalam__Thiruvananthapuram,18794
Kallikkad__Thiruvananthapuram,13553
Chirayinkeezhu__Thiruvananthapuram,29907
Anchuthengu__Thiruvananthapuram,17396
Vakkam__Thiruvananthapuram,16533
Mudakkal__Thiruvananthapuram,36467
Manampoor__Thiruvananthapuram,23198
Vettoor__Thiruvananthapuram,18704
Varkala(M)__Thiruvananthapuram,40048
Cherunniyoor__Thiruvananthapuram,18114
Ottoor__Thiruvananthapuram,16085
Edava__Thiruvananthapuram,25994
Chemmaruthi__Thiruvananthapuram,32444
Elakamon__Thiruvananthapuram,25307
Aruvikkara__Thiruvananthapuram,33396
Anad__Thiruvananthapuram,31687
Panavoor__Thiruvananthapuram,20348
Vembayam__Thiruvananthapuram,38630
Nedumangad(M)__Thiruvananthapuram,60161
Peringammala__Thiruvananthapuram,27667
Nanniyodu__Thiruvananthapuram,26930
Manikkal__Thiruvananthapuram,37906
Nellanadu__Thiruvananthapuram,25981
Pangod__Thiruvananthapuram,29039
