name,type,S,E,I,H,R
Ajanur__Kasaragod,P,49153,0,0,0,0
Badiyaduka__Kasaragod,P,34207,0,0,0,0
Balal__Kasaragod,P,23670,0,0,0,0
Bedadka__Kasaragod,P,27868,0,0,0,0
Beloor__Kasaragod,P,10241,0,0,0,0
Chemmanad__Kasaragod,P,54747,0,0,0,0
Chengala__Kasaragod,P,56781,0,0,0,0
Cheruvathur__Kasaragod,P,27435,0,0,0,0
Delampadi__Kasaragod,P,22773,0,0,0,0
East Eleri__Kasaragod,P,25075,0,0,0,0
Enmakaje__Kasaragod,P,26824,0,0,0,0
Kallar__Kasaragod,P,19414,0,0,0,0
Kanjangad(M)__Kasaragod,M,73342,0,0,0,0
Karaduka__Kasaragod,P,21211,0,0,0,0
Kasaragod(M)__Kasaragod,M,54172,0,20,0,0
Kayyur-Chimeni__Kasaragod,P,23495,0,0,0,0
Kinanur-Karindalam__Kasaragod,P,27585,0,0,0,0
Kodom-Belur__Kasaragod,P,33211,0,0,0,0
Kumbadaje__Kasaragod,P,14772,0,0,0,0
Kumbala__Kasaragod,P,46691,0,0,0,0
Kuttikol__Kasaragod,P,24923,0,0,0,0
Madhur__Kasaragod,P,41463,0,0,0,0
Madikai__Kasaragod,P,22050,0,0,0,0
Mangalpady__Kasaragod,P,48441,0,0,0,0
Manjeswaram__Kasaragod,P,41515,0,0,0,0
Meencha__Kasaragod,P,23318,0,0,0,0
Mogral-Puthur__Kasaragod,P,24839,0,0,0,0
Muliyar__Kasaragod,P,25095,0,0,0,0
Nileswaram(M)__Kasaragod,M,39752,0,0,0,0
Padanna__Kasaragod,P,22134,0,0,0,0
Paivalike__Kasaragod,P,34274,0,0,0,0
Pallikkara__Kasaragod,P,43255,0,0,0,0
Pananthadi__Kasaragod,P,22976,0,0,0,0
Pilicode__Kasaragod,P,25122,0,0,0,0
Pullur-Periya__Kasaragod,P,29642,0,0,0,0
Puthige__Kasaragod,P,21823,0,0,0,0
Thrikkarippur__Kasaragod,P,38687,0,0,0,0
Uduma__Kasaragod,P,37537,0,0,0,0
Valiyaparampa__Kasaragod,P,12790,0,0,0,0
Vorkady__Kasaragod,P,25756,0,0,0,0
West Eleri__Kasaragod,P,29316,0,0,0,0
