,iName,jName,Cij
0,Amboori__Thiruvananthapuram,Amboori__Thiruvananthapuram,0.9328603334082055
1,Amboori__Thiruvananthapuram,Anad__Thiruvananthapuram,0.00031568828862535073
2,Amboori__Thiruvananthapuram,Anchuthengu__Thiruvananthapuram,4.550470701507734e-05
3,Amboori__Thiruvananthapuram,Andoorkonam__Thiruvananthapuram,0.00014797815035435597
4,Amboori__Thiruvananthapuram,Aruvikkara__Thiruvananthapuram,0.00046050489037021395
5,Amboori__Thiruvananthapuram,Aryanad__Thiruvananthapuram,0.0008088849404713434
6,Amboori__Thiruvananthapuram,Aryancodu__Thiruvananthapuram,0.0035731785958725954
7,Amboori__Thiruvananthapuram,Athiyannoor__Thiruvananthapuram,0.0004493988044270204
8,Amboori__Thiruvananthapuram,Attingal(M)__Thiruvananthapuram,0.00018490345582868376
9,Amboori__Thiruvananthapuram,Azhoor__Thiruvananthapuram,0.00010610296239824701
10,Amboori__Thiruvananthapuram,Balaramapuram__Thiruvananthapuram,0.0006622727733045066
11,Amboori__Thiruvananthapuram,Chemmaruthi__Thiruvananthapuram,8.683693979610741e-05
12,Amboori__Thiruvananthapuram,Chenkal__Thiruvananthapuram,0.0008074968264672803
13,Amboori__Thiruvananthapuram,Cherunniyoor__Thiruvananthapuram,4.5616778735900815e-05
14,Amboori__Thiruvananthapuram,Chirayinkeezhu__Thiruvananthapuram,0.00010462454531508227
15,Amboori__Thiruvananthapuram,Edava__Thiruvananthapuram,7.27067830819423e-05
16,Amboori__Thiruvananthapuram,Elakamon__Thiruvananthapuram,7.218883943203519e-05
17,Amboori__Thiruvananthapuram,Kadakkavoor__Thiruvananthapuram,6.655543621702798e-05
18,Amboori__Thiruvananthapuram,Kadinamkulam__Thiruvananthapuram,0.0002314420251720723
19,Amboori__Thiruvananthapuram,Kallara__Thiruvananthapuram,0.00012244287178706054
20,Amboori__Thiruvananthapuram,Kallikkad__Thiruvananthapuram,0.005311455586147275
21,Amboori__Thiruvananthapuram,Kalliyoor__Thiruvananthapuram,0.0004628384629430591
22,Amboori__Thiruvananthapuram,Kanjiramkulam__Thiruvananthapuram,0.0002346831008814115
23,Amboori__Thiruvananthapuram,Karakulam__Thiruvananthapuram,0.0004193014901565184
24,Amboori__Thiruvananthapuram,Karavaram__Thiruvananthapuram,0.00010371679004678863
25,Amboori__Thiruvananthapuram,Karode__Thiruvananthapuram,0.0005919933118953973
26,Amboori__Thiruvananthapuram,Karumkulam__Thiruvananthapuram,0.0003595921287031901
27,Amboori__Thiruvananthapuram,Kattakada__Thiruvananthapuram,0.002157101947079457
28,Amboori__Thiruvananthapuram,Kilimanoor__Thiruvananthapuram,8.812498201959348e-05
29,Amboori__Thiruvananthapuram,Kizhuvilam__Thiruvananthapuram,0.00011021535697547095
30,Amboori__Thiruvananthapuram,Kollayil__Thiruvananthapuram,0.0008911897205260375
31,Amboori__Thiruvananthapuram,Kottukal__Thiruvananthapuram,0.00045211935669033364
32,Amboori__Thiruvananthapuram,Kulathoor__Thiruvananthapuram,0.00048421237292416
33,Amboori__Thiruvananthapuram,Kunnathukal__Thiruvananthapuram,0.002049672775592509
34,Amboori__Thiruvananthapuram,Madavoor__Thiruvananthapuram,8.896560935164338e-05
35,Amboori__Thiruvananthapuram,Malayinkeezhu__Thiruvananthapuram,0.000749991207468132
36,Amboori__Thiruvananthapuram,Manampoor__Thiruvananthapuram,6.513171935061516e-05
37,Amboori__Thiruvananthapuram,Mangalapuram__Thiruvananthapuram,0.00016416619007109443
38,Amboori__Thiruvananthapuram,Manikkal__Thiruvananthapuram,0.00016217193083772175
39,Amboori__Thiruvananthapuram,Maranalloor__Thiruvananthapuram,0.0009147682541431775
40,Amboori__Thiruvananthapuram,Mudakkal__Thiruvananthapuram,0.00011087658538188492
41,Amboori__Thiruvananthapuram,Nagaroor__Thiruvananthapuram,0.00010030069692166487
42,Amboori__Thiruvananthapuram,Nanniyodu__Thiruvananthapuram,0.00020676459557659346
43,Amboori__Thiruvananthapuram,Navayikkulam__Thiruvananthapuram,9.065247607155552e-05
44,Amboori__Thiruvananthapuram,Nedumangad(M)__Thiruvananthapuram,0.0007864066344407359
45,Amboori__Thiruvananthapuram,Nellanadu__Thiruvananthapuram,0.00014483551939095066
46,Amboori__Thiruvananthapuram,Neyyattinkara(M)__Thiruvananthapuram,0.002328965635628142
47,Amboori__Thiruvananthapuram,Ottasekharamangalam__Thiruvananthapuram,0.005874986598171748
48,Amboori__Thiruvananthapuram,Ottoor__Thiruvananthapuram,4.371889802994017e-05
49,Amboori__Thiruvananthapuram,Pallichal__Thiruvananthapuram,0.0007107516664464335
50,Amboori__Thiruvananthapuram,Pallikkal__Thiruvananthapuram,7.271902930531115e-05
51,Amboori__Thiruvananthapuram,Panavoor__Thiruvananthapuram,0.00019622030085473445
52,Amboori__Thiruvananthapuram,Pangod__Thiruvananthapuram,0.00016512236610733945
53,Amboori__Thiruvananthapuram,Parassala__Thiruvananthapuram,0.001729617386591114
54,Amboori__Thiruvananthapuram,Pazhayakunnummel__Thiruvananthapuram,0.00013006336935842777
55,Amboori__Thiruvananthapuram,Peringammala__Thiruvananthapuram,0.00019055882271553552
56,Amboori__Thiruvananthapuram,Perumkadavila__Thiruvananthapuram,0.0011178062006755298
57,Amboori__Thiruvananthapuram,Poovachal__Thiruvananthapuram,0.001795280772206859
58,Amboori__Thiruvananthapuram,Poovar__Thiruvananthapuram,0.00024997020023778254
59,Amboori__Thiruvananthapuram,Pothencodu__Thiruvananthapuram,0.00015441175866439213
60,Amboori__Thiruvananthapuram,Pulimathu__Thiruvananthapuram,0.00010609830966770852
61,Amboori__Thiruvananthapuram,Pullampara__Thiruvananthapuram,0.00010795343259348759
62,Amboori__Thiruvananthapuram,Thirupuram__Thiruvananthapuram,0.0002873768141362362
63,Amboori__Thiruvananthapuram,Thiruvananthapuram(C)__Thiruvananthapuram,0.015339961332830472
64,Amboori__Thiruvananthapuram,Tholikkodu__Thiruvananthapuram,0.0003293851680947042
65,Amboori__Thiruvananthapuram,Uzhamalakkal__Thiruvananthapuram,0.00045911645044775475
66,Amboori__Thiruvananthapuram,Vakkam__Thiruvananthapuram,4.0874528883771436e-05
67,Amboori__Thiruvananthapuram,Vamanpuram__Thiruvananthapuram,0.00011576402191318439
68,Amboori__Thiruvananthapuram,Varkala(M)__Thiruvananthapuram,0.000152106204691578
69,Amboori__Thiruvananthapuram,Vellanad__Thiruvananthapuram,0.0007166039333400983
70,Amboori__Thiruvananthapuram,Vellarada__Thiruvananthapuram,0.006869046390066041
71,Amboori__Thiruvananthapuram,Vembayam__Thiruvananthapuram,0.00019714283521282086
72,Amboori__Thiruvananthapuram,Venganoor__Thiruvananthapuram,0.00043137334398352074
73,Amboori__Thiruvananthapuram,Vettoor__Thiruvananthapuram,4.846553944630771e-05
74,Amboori__Thiruvananthapuram,Vilappil__Thiruvananthapuram,0.0006795296911050945
75,Amboori__Thiruvananthapuram,Vilavoorkal__Thiruvananthapuram,0.0004357437990533987
76,Amboori__Thiruvananthapuram,Vithura__Thiruvananthapuram,0.0003973543750765323
77,Anad__Thiruvananthapuram,Amboori__Thiruvananthapuram,0.0001586062913786595
78,Anad__Thiruvananthapuram,Anad__Thiruvananthapuram,0.8676360031860494
79,Anad__Thiruvananthapuram,Anchuthengu__Thiruvananthapuram,0.00013802683536357985
80,Anad__Thiruvananthapuram,Andoorkonam__Thiruvananthapuram,0.0006623525483018048
81,Anad__Thiruvananthapuram,Aruvikkara__Thiruvananthapuram,0.0024588070038491063
82,Anad__Thiruvananthapuram,Aryanad__Thiruvananthapuram,0.000944308632006744
83,Anad__Thiruvananthapuram,Aryancodu__Thiruvananthapuram,0.0003149347497299504
84,Anad__Thiruvananthapuram,Athiyannoor__Thiruvananthapuram,0.0001940052399994763
85,Anad__Thiruvananthapuram,Attingal(M)__Thiruvananthapuram,0.0007319659347882392
86,Anad__Thiruvananthapuram,Azhoor__Thiruvananthapuram,0.0004017071783426552
87,Anad__Thiruvananthapuram,Balaramapuram__Thiruvananthapuram,0.0003403973735967388
88,Anad__Thiruvananthapuram,Chemmaruthi__Thiruvananthapuram,0.0002579003924833964
89,Anad__Thiruvananthapuram,Chenkal__Thiruvananthapuram,0.00024481806022750414
90,Anad__Thiruvananthapuram,Cherunniyoor__Thiruvananthapuram,0.0001395348289045723
